'Pipe','Plant','Temp','Hardener'
1,1,200,1
2,1,175,2
3,2,200,1
4,2,175,2
5,1,200,1
6,1,175,2
7,2,200,1
8,2,175,2
9,1,200,3
10,1,175,3
11,2,200,3
12,2,175,3
13,1,200,3
14,1,175,3
15,2,200,3
16,2,175,3
17,1,200,2
18,1,175,1
19,2,200,2
20,2,175,1
21,1,200,2
22,1,175,1
23,2,200,2
24,2,175,1
25,1,250,1
26,1,225,2
27,2,250,1
28,2,225,2
29,1,250,1
30,1,225,2
31,2,250,1
32,2,225,2
33,1,250,3
34,1,225,3
35,2,250,3
36,2,225,3
37,1,250,3
38,1,225,3
39,2,250,3
40,2,225,3
41,1,250,1
42,1,225,2
43,2,250,1
44,2,225,2
45,1,250,1
46,1,225,2
47,2,250,1
48,2,225,2
