'Year','Expend','%GNP'
'1960',48,9.3
'1970',81,8.1
'1980',134,4.9
'1981',158,5.2
'1982',185,5.8
'1983',210,6.1
'1984',227,6
'1985',253,6.1
'1986',273,6.2
'1987',282,6.1
'1988',290,5.9
'1989',304,5.7
'1990',299,5.2
'1991',273,4.6
'1992',298,4.8
'1993',291,4.4
'1994',282,4.1
'1995',272,3.7
'1996',266,3.5
'1997',271,3.3
'1998',269,3.1
'1999',275,3
'2000',295,3
'2001',306,3
'2002',349,3.3
'2003',376,3.3
'2004',456,3.8
'2005',495,3.9
'2006',522,3.9
'2007',551,3.9
'2008',616,4.3
'2009',661,4.7
'2010',694,4.7
'2011',768,5.1
'2012',738,4.7
