'Variable','Grade','N','Mean','St. Dev','Minimum','Q1','Median','Q3','Maximum'
'Math',3,22,171.87,9.16,155.5,164.98,174.65,179.18,186.1
'Math',4,22,189.88,9.64,169.9,181.1,189.45,197.28,206.9
'Math',5,19,206.16,11.14,192.9,197.1,205.2,212.7,228.1
'Reading',3,22,171.1,7.46,157.2,164.78,171.85,176.43,183.8
'Reading',4,22,185.96,10.2,166.9,178.28,186.95,193.85,204.7
'Reading',5,19,205.36,11.04,186.6,199,203.3,217.7,223.3
'%Minority',3,22,39.43,25.32,12.3,20,28.45,69.45,87.4
'%Minority',4,22,40.22,24.19,11.1,21.25,32.2,64.53,94.4
'%Minority',5,19,40.42,26.37,10.5,19.8,29.4,64.1,92.6
'%Poverty',3,22,58.76,24.6,13.8,33.3,68.95,77.48,91.7
'%Poverty',4,22,54,24.2,11.7,33.18,60.55,73.38,91.7
'%Poverty',5,19,56.47,23.48,13.2,37.3,61,75.9,92.9
