'Sample','Cities'
1,'C1, C2'
2,'C1, C3'
3,'C1, C4'
4,'C1, C5'
5,'C1, C6'
6,'C1, C7'
7,'C1, C8'
8,'C1, C9'
9,'C1, C10'
10,'C2, C3'
11,'C2, C4'
12,'C2, C5'
13,'C2, C6'
14,'C2, C7'
15,'C2, C8'
16,'C2, C9'
17,'C2, C10'
18,'C3, C4'
19,'C3, C5'
20,'C3, C6'
21,'C3, C7'
22,'C3, C8'
23,'C3, C9'
24,'C3, C10'
25,'C4, C5'
26,'C4, C6'
27,'C4, C7'
28,'C4, C8'
29,'C4, C9'
30,'C4, C10'
31,'C5, C6'
32,'C5, C7'
33,'C5, C8'
34,'C5, C9'
35,'C5, C10'
36,'C6, C7'
37,'C6, C8'
38,'C6, C9'
39,'C6, C10'
40,'C7, C8'
41,'C7, C9'
42,'C7, C10'
43,'C8, C9'
44,'C8, C10'
45,'C9, C10'
