'Sample','value_y'
'2, 3',2.5
'2, 4',3
'2, 5',3.5
'2, 6',4
'2, 7',4.5
'2, 8',5
'2, 9',5.5
'2, 10',6
'2, 11',6.5
'3, 4',3.5
'3, 5',4
'3, 6',4.5
'3, 7',5
'3, 8',5.5
'3, 9',6
'3, 10',6.5
'3, 11',7
'4, 5',4.5
'4, 6',5
'4, 7',5.5
'4, 8',6
'4, 9',6.5
'4, 10',7
'4, 11',7.5
'5, 6',5.5
'5, 7',6
'5, 8',6.5
'5, 9',7
'5, 10',7.5
'5, 11',8
'6, 7',6.5
'6, 8',7
'6, 9',7.5
'6, 10',8
'6, 11',8.5
'7, 8',7.5
'7, 9',8
'7, 10',8.5
'7, 11',9
'8, 9',8.5
'8, 10',9
'8, 11',9.5
'9, 10',9.5
'9, 11',10
'10, 11',10.5
