'Placebo','Treatment'
105.1,107.6
102.1,106
103,106.4
102.3,106.4
102.3,108.5
103.3,107.8
108.1,105.3
107,111.5
106.2,106
110.1,106.9
102.1,110.4
103.2,107.1
102.3,106.8
100.8,106
103.1,107
102.3,106.6
104,110.3
103.5,107.8
102.1,106.9
103.4,109.2
101.5,108.2
103.9,108.7
111.7,106.1
104.3,107.6
100.6,113.4
105.3,107.4
101.4,106.7
104,107
104.5,113.5
103.6,111.1
103,105
102.2,105.8
103.2,108.7
102.3,105.9
101.1,110.4
103.1,108.6
101.8,108.2
103.9,106.9
103.7,105.9
104.7,109.3
