'OLD','NEW'
16.74,15.64
15.75,15.81
16.19,16.2
16.54,16.36
15.92,16.36
16.29,16.05
16.44,16.07
16.29,16.04
16.38,16.08
16.47,16.31
16.56,16.5
16.42,16.14
16.08,16.12
16.47,16.3
16.02,16.41
16.74,16.11
15.97,16.2
16.47,16.29
16.06,15.75
16.64,16.22
16.4,16.12
16.4,16.23
16.28,16.19
16.66,16.59
16.8,16.08
16.36,16.07
16.36,16.15
16.27,16.5
16.43,16.25
16.26,16.25
16.31,16.19
16.59,16.13
16.24,15.96
16.63,16.02
16.15,16.29
16.17,15.99
16.32,15.99
16.81,16.42
16.27,16.15
17.09,16.23
