'Backlog','time'
0,2
0,3
0,5
0,6
0,8
0,10
0,13
0,15
0,16
0,20
0,24
0,27
0,32
0,35
0,42
1,12
1,23
1,51
1,36
1,48
1,112
1,123
1,163
1,172
1,120
1,252
1,237
1,212
1,245
1,246
2,42
2,38
2,105
2,156
2,158
2,210
2,183
2,215
2,216
2,320
2,324
2,278
2,332
2,375
2,412
3,62
3,73
3,58
3,126
3,208
3,270
3,313
3,415
3,416
3,320
3,324
3,427
3,432
3,435
3,442
4,82
4,93
4,105
4,206
4,278
4,310
4,313
4,415
4,316
4,420
4,424
4,527
4,532
4,635
4,642
