'Durability','Concentration'
53.3,20
25.2,20
41.9,20
20.3,20
55.5,20
50.7,20
57.1,20
34.1,20
52.7,20
42.5,20
51.7,20
47,20
67.2,30
66.7,30
56.7,30
60.3,30
68,30
56.1,30
59.9,30
63.3,30
64.4,30
49.3,30
61.7,30
62.3,30
64.7,40
68,40
76.5,40
69.9,40
69.1,40
50.7,40
57.1,40
65.7,40
67.1,40
74.4,40
73.5,40
69.9,40
51.6,50
75.7,50
55.9,50
76.1,50
55.3,50
73.3,50
61.5,50
53.3,50
74.4,50
73.6,50
76.5,50
73.3,50
58.7,60
70.5,60
52.5,60
59.9,60
65.9,60
63.3,60
64.9,60
53.6,60
52.5,60
63.8,60
59.7,60
58.9,60
