'Managers','Salary','NumEmp','Margin','IPCost'
1,29.5,58,19.4,10.14
2,29.3,37,17.7,9.18
3,29.8,135,20.4,6.84
4,29.2,69,20.5,7.59
5,28.9,48,19.1,4.96
6,31.7,159,23.3,10.52
7,27.5,42,23.4,8.61
8,29.4,37,23.1,10.72
9,30.4,71,18.57,5.65
10,27.7,69,16.4,5.46
11,30.9,121,24.6,7.37
12,28.9,389,11,7.4
13,29.7,99,20.9,9.05
14,30.3,62,23,8.81
15,31.3,107,15.3,10.94
16,30,42,18.8,6.84
17,30,35,21,6.45
18,28.5,42,10.5,6.06
19,29.9,31,19.3,10.2
20,29.7,78,18,9.6
21,30.2,132,23.5,7.88
22,29.7,37,22.4,6.71
23,29.9,89,22.8,10.04
24,29,101,21.7,8.39
25,29.4,60,18,5.24
26,30.3,48,21.9,9.6
27,30.4,75,22.6,11.63
28,31.1,71,24.5,9.65
29,29.4,47,24.2,7.94
30,30.7,39,22.7,9.67
31,30.2,50,23.1,9.66
32,30.7,40,16.1,10.31
33,28.5,102,16.2,6.67
34,28.5,77,19,7.85
35,29,38,21.9,6.45
36,29.2,80,20.9,10.07
37,28.1,77,14,7.06
38,27.7,28,19.8,9.7
39,27.3,30,6.7,3.16
40,31.3,34,21.4,10.91
41,27.4,28,16,8.19
42,29.3,230,14.9,5.7
43,28.7,121,19.3,6.42
44,29.7,146,20.9,5.74
45,29.3,124,17.6,6.13
46,28.3,40,16.3,8.86
47,25.7,130,15.6,4.11
48,27.2,60,15.9,6.13
49,29.2,94,22.6,9.95
50,30.2,43,19.6,7.83
51,30.7,111,18.2,6.7
52,29.4,37,23,11.25
53,28.4,76,15.5,4.77
54,30.1,188,18.9,5.94
55,28.5,64,12.6,4.81
56,28.8,185,17.7,8.66
57,32.4,371,22.3,7.45
58,28.4,81,23.1,5.14
59,29.7,62,20.9,9.26
60,27,30,9.8,1.44
61,28.2,103,22.1,7.98
62,27.6,29,9.7,6.09
63,30.7,28,17.1,8.71
64,28.7,34,16.8,5.11
65,29.4,279,23.2,6.2
66,29.9,35,23.4,8.42
67,31.3,43,18.3,7.52
68,28.5,64,12.6,4.81
