'SocClass','SmokeLevel','ToxSign','Frequency'
1,1,'None',286
1,2,'None',71
1,3,'None',13
2,1,'None',785
2,2,'None',284
2,3,'None',34
3,1,'None',3160
3,2,'None',2300
3,3,'None',383
4,1,'None',656
4,2,'None',649
4,3,'None',163
5,1,'None',245
5,2,'None',321
5,3,'None',65
1,1,'HyperOnly',21
1,2,'HyperOnly',5
1,3,'HyperOnly',0
2,1,'HyperOnly',34
2,2,'HyperOnly',17
2,3,'HyperOnly',3
3,1,'HyperOnly',164
3,2,'HyperOnly',142
3,3,'HyperOnly',32
4,1,'HyperOnly',52
4,2,'HyperOnly',46
4,3,'HyperOnly',12
5,1,'HyperOnly',23
5,2,'HyperOnly',34
5,3,'HyperOnly',4
1,1,'ProteinuriaOnly',82
1,2,'ProteinuriaOnly',24
1,3,'ProteinuriaOnly',3
2,1,'ProteinuriaOnly',266
2,2,'ProteinuriaOnly',92
2,3,'ProteinuriaOnly',15
3,1,'ProteinuriaOnly',1101
3,2,'ProteinuriaOnly',492
3,3,'ProteinuriaOnly',92
4,1,'ProteinuriaOnly',213
4,2,'ProteinuriaOnly',129
4,3,'ProteinuriaOnly',40
5,1,'ProteinuriaOnly',78
5,2,'ProteinuriaOnly',74
5,3,'ProteinuriaOnly',14
1,1,'Hyper&Proteinuria',28
1,2,'Hyper&Proteinuria',5
1,3,'Hyper&Proteinuria',1
2,1,'Hyper&Proteinuria',50
2,2,'Hyper&Proteinuria',13
2,3,'Hyper&Proteinuria',0
3,1,'Hyper&Proteinuria',278
3,2,'Hyper&Proteinuria',120
3,3,'Hyper&Proteinuria',16
4,1,'Hyper&Proteinuria',63
4,2,'Hyper&Proteinuria',35
4,3,'Hyper&Proteinuria',7
5,1,'Hyper&Proteinuria',20
5,2,'Hyper&Proteinuria',22
5,3,'Hyper&Proteinuria',7
