'Subject','y','x1','x2','x3','x4'
1,1.5,139.8,19.1,18.1,133.6
2,2.1,143.3,21.1,15.3,144.6
3,1.8,154.2,21.2,15.3,164.6
4,2.2,176.6,23.2,17.7,139.4
5,2.2,154.3,22.4,17.1,127.3
6,2,185.4,22.1,16.4,137.3
7,2.1,177.9,21.6,17.3,144
8,1.9,158.8,19,16.8,141.4
9,2.8,159.8,20.9,15.5,127.7
10,1.9,123.9,22,13.8,124.2
11,2,164.2,19.5,17,135.7
12,2.7,146.3,19.8,13.8,116.1
13,2.4,172.6,20.7,16.8,109
14,2.3,147.5,21,15.3,131
15,2,163,21.2,14.2,143.3
16,1.7,159.8,20.4,16.8,156.6
17,2.3,162.7,20,16.6,120.1
18,0.9,133.3,21.1,17.5,131.8
19,1.2,142.8,22.6,18,149.4
20,1.9,146.6,23,15.7,106.9
21,0.8,141.6,22.1,19.1,135.6
22,2.2,158.9,22.8,13.4,164.6
23,2.3,151.9,21.8,13.6,162.6
24,1.7,153.3,20,16.1,134.8
25,1.6,144.6,22.9,15.8,154
26,1.6,133.3,22.9,18.2,120.7
27,2.8,153.6,19.4,13.3,151.9
28,2.7,158.6,21,14.9,133.6
29,1.3,108.4,21.1,16.7,142.8
30,2.1,157.4,20.1,15.7,168.2
31,2.5,141.7,19.8,13.5,120.5
32,1.5,151.1,21.8,18.8,135.6
33,2.4,149.5,20.5,14.9,119.5
34,2.3,144.3,21,17.2,119
35,1.9,166.6,21.4,17.4,150.8
36,1.5,153.6,20.8,16.4,144
37,2.4,144.1,20.3,13.3,124.7
38,2.3,148.7,19.1,15.4,154.4
39,1.7,159.9,19.6,17.4,136.7
40,2,162.8,21.3,16.2,152.4
41,1.9,145.7,20,18.6,133.6
42,2.3,156.7,19.2,16.4,113.2
43,2.1,162.3,22.1,19,81.6
44,2.2,164.7,19.1,17.1,134.8
45,1.8,134.4,20.9,15.6,130.4
46,2.1,160.1,21.1,14.2,162.1
47,2.2,143,20.5,17.1,144.7
48,1.3,141.6,21.7,14.5,163.1
49,2.5,152,20.8,17.3,137.1
50,2.2,187.1,21.5,14.6,156
51,1.4,122.9,22.6,18.6,127.2
52,2.2,157.1,23.4,14.2,121.4
53,2.5,155.1,20.8,16,155.3
54,1.8,133.6,22.5,15.4,140.4
