'Lab/Solution','Measurements'
'1 W1',1206
'1 W1',1202
'1 W1',1202
'1 W1',1201
'1 2.0A',1068
'1 2.0A',1071
'1 2.0A',1067
'1 2.0A',1066
'1 W2',1194
'1 W2',1193
'1 W2',1189
'1 W2',1185
'1 2.0B',1072
'1 2.0B',1068
'1 2.0B',1064
'1 2.0B',1067
'1 U1',1387
'1 U1',1387
'1 U1',1384
'1 U1',1380
'1 2.5',1333
'1 2.5',1321
'1 2.5',1326
'1 2.5',1317
'1 U2',1394
'1 U2',1390
'1 U2',1383
'1 U2',1376
'1 3.0A',1579
'1 3.0A',1576
'1 3.0A',1578
'1 3.0A',1572
'1 Y1',1478
'1 Y1',1480
'1 Y1',1473
'1 Y1',1466
'1 3.0B',1579
'1 3.0B',1571
'1 3.0B',1579
'1 3.0B',1567
'1 Y2',1483
'1 Y2',1477
'1 Y2',1482
'1 Y2',1472
'2 W1',1017
'2 W1',1017
'2 W1',1012
'2 W1',1020
'2 2.0A',910
'2 2.0A',916
'2 2.0A',915
'2 2.0A',915
'2 W2',1012
'2 W2',1018
'2 W2',1015
'2 W2',1023
'2 2.0B',913
'2 2.0B',923
'2 2.0B',914
'2 2.0B',921
'2 U1',1188
'2 U1',1199
'2 U1',1197
'2 U1',1202
'2 2.5',1129
'2 2.5',1148
'2 2.5',1136
'2 2.5',1147
'2 U2',1186
'2 U2',1196
'2 U2',1193
'2 U2',1199
'2 3.0A',1359
'2 3.0A',1378
'2 3.0A',1370
'2 3.0A',1373
'2 Y1',1263
'2 Y1',1280
'2 Y1',1280
'2 Y1',1279
'2 3.0B',1349
'2 3.0B',1361
'2 3.0B',1359
'2 3.0B',1363
'2 Y2',1259
'2 Y2',1269
'2 Y2',1259
'2 Y2',1265
'3 W1',1090
'3 W1',1098
'3 W1',1090
'3 W1',1100
'3  2.0A',969
'3  2.0A',975
'3  2.0A',969
'3  2.0A',972
'3 U2',1088
'3 U2',1092
'3 U2',1087
'3 U2',1085
'3 2.0B',969
'3 2.0B',960
'3 2.0B',960
'3 2.0B',966
'3 U1',1270
'3 U1',1261
'3 U1',1261
'3 U1',1269
'3 2.5',1196
'3 2.5',1196
'3 2.5',1209
'3 2.5',1200
'3 W2',1261
'3 W2',1268
'3 W2',1270
'3 W2',1273
'3 3.0A',1451
'3 3.0A',1440
'3 3.0A',1439
'3 3.0A',1449
'3 Y1',1352
'3 Y1',1349
'3 Y1',1353
'3 Y1',1343
'3 3.0B',1439
'3 3.0B',1433
'3 3.0B',1433
'3 3.0B',1445
'3 Y2',1349
'3 Y2',1353
'3 Y2',1349
'3 Y2',1355
'4 2.0A',1122
'4 2.0A',1117
'4 2.0A',1119
'4 2.0A',1120
'4 W2',1256
'4 W2',1254
'4 W2',1256
'4 W2',1263
'4 W1',1260
'4 W1',1251
'4 W1',1252
'4 W1',1264
'4 2.0B',1122
'4 2.0B',1110
'4 2.0B',1111
'4 2.0B',1116
'4 U2',1453
'4 U2',1447
'4 U2',1451
'4 U2',1455
'4 2.5',1386
'4 2.5',1381
'4 2.5',1381
'4 2.5',1387
'4 U1',1450
'4 U1',1446
'4 U1',1448
'4 U1',1457
'4 3.0A',1656
'4 3.0A',1663
'4 3.0A',1659
'4 3.0A',1665
'4 Y2',1543
'4 Y2',1548
'4 Y2',1543
'4 Y2',1545
'4 3.0B',1658
'4 3.0B',1658
'4 3.0B',1661
'4 3.0B',1660
'4 Y1',1545
'4 Y1',1546
'4 Y1',1548
'4 Y1',1544
