'Lake','EHg','Alk','pH','Ca','Chlo'
1,1.53,5.9,6.1,3,0.7
2,1.33,3.5,5.1,1.9,3.2
3,0.04,116,9.1,44.1,128.3
4,0.44,39.4,6.9,16.4,3.5
5,1.33,2.5,4.6,2.9,1.8
6,0.25,19.6,7.3,4.5,44.1
7,0.45,5.2,5.4,2.8,3.4
8,0.16,71.4,8.1,55.2,33.7
9,0.72,26.4,5.8,9.2,1.6
10,0.81,4.8,6.4,4.6,22.5
11,0.71,6.6,5.4,2.7,14.9
12,0.51,16.5,7.2,13.8,4
13,0.54,25.4,7.2,25.2,11.6
14,1,7.1,5.8,5.2,5.8
15,0.05,128,7.6,86.5,71.1
16,0.15,83.7,8.2,66.5,78.6
17,0.19,108.5,8.7,35.6,80.1
18,0.49,61.3,7.8,57.4,13.9
19,1.02,6.4,5.8,4,4.6
20,0.7,31,6.7,15,17
21,0.45,7.5,4.4,2,9.6
22,0.59,17.3,6.7,10.7,9.5
23,0.41,12.6,6.1,3.7,21
24,0.81,7,6.9,6.3,32.1
25,0.42,10.5,5.5,6.3,1.6
26,0.53,30,6.9,13.9,21.5
27,0.31,55.4,7.3,15.9,24.7
28,0.87,3.9,4.5,3.3,7
29,0.5,5.5,4.8,1.7,14.8
30,0.47,6.3,5.8,3.3,0.7
31,0.25,67,7.8,58.6,43.8
32,0.41,28.8,7.4,10.2,32.7
33,0.87,5.8,3.6,1.6,3.2
34,0.56,4.5,4.4,1.1,3.2
35,0.16,119.1,7.9,38.4,16.1
36,0.16,25.4,7.1,8.8,45.2
37,0.23,106.5,6.8,90.7,16.5
38,0.04,53,8.4,45.6,152.4
39,0.56,8.5,7,2.5,12.8
40,0.89,87.6,7.5,85.5,20.1
41,0.18,114,7,72.6,6.4
42,0.19,97.5,6.8,45.5,6.2
43,0.44,11.8,5.9,24.2,1.6
44,0.16,66.5,8.3,26,68.2
45,0.67,16,6.7,41.2,24.1
46,0.55,5,6.2,23.6,9.6
47,0.27,81.5,8.9,20.5,9.6
48,0.98,1.2,4.3,2.1,6.4
49,0.31,34,7,13.1,4.6
50,0.43,15.5,6.9,5.2,16.5
51,0.58,25.6,6.2,12.6,27.7
52,0.28,17.3,5.2,3,2.6
53,0.25,71.8,7.9,20.5,8.8
