'Pharmacy','Volume','Floor-SP','Presc-RX','Parking','ShopCntr','Income'
1,22,4900,9,40,1,18
2,19,5800,10,50,1,20
3,24,5000,11,55,1,17
4,28,4400,12,30,0,19
5,18,3850,13,42,0,10
6,21,5300,15,20,1,22
7,29,4100,20,25,0,8
8,15,4700,22,60,1,15
9,12,5600,24,45,1,16
10,14,4900,27,82,1,14
11,18,3700,28,56,0,12
12,19,3800,31,38,0,8
13,15,2400,36,35,0,6
14,22,1800,37,28,0,4
15,13,3100,40,43,0,6
16,16,2300,41,20,0,5
17,8,4400,42,46,1,7
18,6,3300,42,15,0,4
19,7,2900,45,30,1,9
20,17,2400,46,16,0,3
