'Ratings','Sweetner','MilkFat','Air'
23,0.12,0.1,0.05
24,0.12,0.1,0.05
25,0.12,0.1,0.05
36,0.12,0.1,0.1
35,0.12,0.1,0.1
36,0.12,0.1,0.1
28,0.12,0.1,0.15
24,0.12,0.1,0.15
27,0.12,0.1,0.15
27,0.12,0.12,0.05
28,0.12,0.12,0.05
26,0.12,0.12,0.05
34,0.12,0.12,0.1
38,0.12,0.12,0.1
39,0.12,0.12,0.1
35,0.12,0.12,0.15
35,0.12,0.12,0.15
34,0.12,0.12,0.15
31,0.12,0.15,0.05
32,0.12,0.15,0.05
29,0.12,0.15,0.05
33,0.12,0.15,0.1
34,0.12,0.15,0.1
35,0.12,0.15,0.1
26,0.12,0.15,0.15
27,0.12,0.15,0.15
25,0.12,0.15,0.15
24,0.16,0.1,0.05
23,0.16,0.1,0.05
28,0.16,0.1,0.05
37,0.16,0.1,0.1
39,0.16,0.1,0.1
35,0.16,0.1,0.1
26,0.16,0.1,0.15
29,0.16,0.1,0.15
25,0.16,0.1,0.15
38,0.16,0.12,0.05
36,0.16,0.12,0.05
35,0.16,0.12,0.05
34,0.16,0.12,0.1
38,0.16,0.12,0.1
36,0.16,0.12,0.1
36,0.16,0.12,0.15
37,0.16,0.12,0.15
34,0.16,0.12,0.15
34,0.16,0.15,0.05
36,0.16,0.15,0.05
39,0.16,0.15,0.05
34,0.16,0.15,0.1
36,0.16,0.15,0.1
31,0.16,0.15,0.1
28,0.16,0.15,0.15
26,0.16,0.15,0.15
24,0.16,0.15,0.15
