'Recall','Reinforcement','IsolationTime'
26,'None',20
23,'None',20
28,'None',20
19,'None',20
18,'None',20
25,'None',20
30,'None',40
25,'None',40
27,'None',40
36,'None',40
28,'None',40
24,'None',40
6,'None',60
11,'None',60
17,'None',60
10,'None',60
14,'None',60
19,'None',60
15,'Verbal',20
24,'Verbal',20
25,'Verbal',20
16,'Verbal',20
22,'Verbal',20
21,'Verbal',20
24,'Verbal',40
29,'Verbal',40
23,'Verbal',40
26,'Verbal',40
27,'Verbal',40
21,'Verbal',40
31,'Verbal',60
29,'Verbal',60
35,'Verbal',60
38,'Verbal',60
34,'Verbal',60
30,'Verbal',60
