'Weight','Method','Farm'
597,'Surface',1
636,'Surface',2
591,'Surface',3
603,'Surface',4
649,'Surface',5
512,'Surface',6
588,'Surface',7
689,'Surface',8
690,'Surface',9
608,'Surface',10
248,'Trickle',1
382,'Trickle',2
348,'Trickle',3
366,'Trickle',4
258,'Trickle',5
321,'Trickle',6
423,'Trickle',7
406,'Trickle',8
400,'Trickle',9
380,'Trickle',10
391,'CenterPoint',1
434,'CenterPoint',2
492,'CenterPoint',3
468,'CenterPoint',4
457,'CenterPoint',5
406,'CenterPoint',6
466,'CenterPoint',7
502,'CenterPoint',8
559,'CenterPoint',9
469,'CenterPoint',10
423,'Lateral',1
461,'Lateral',2
504,'Lateral',3
580,'Lateral',4
449,'Lateral',5
464,'Lateral',6
550,'Lateral',7
526,'Lateral',8
469,'Lateral',9
550,'Lateral',10
350,'SubIrrigation',1
370,'SubIrrigation',2
460,'SubIrrigation',3
452,'SubIrrigation',4
343,'SubIrrigation',5
340,'SubIrrigation',6
327,'SubIrrigation',7
378,'SubIrrigation',8
419,'SubIrrigation',9
458,'SubIrrigation',10
