'Tree Diameter','Grove','Ca Level','pH Value'
5.2,1,'Ca100',4
7.1,2,'Ca100',5
7.6,3,'Ca100',6
7.2,4,'Ca100',7
5.9,1,'Ca100',4
7.4,2,'Ca100',5
7.2,3,'Ca100',6
7.5,4,'Ca100',7
6.3,1,'Ca100',4
7.5,2,'Ca100',5
7.4,3,'Ca100',6
7.2,4,'Ca100',7
7.4,1,'Ca200',4
7.4,2,'Ca200',5
7.3,3,'Ca200',6
7.4,4,'Ca200',7
7,1,'Ca200',4
7.3,2,'Ca200',5
7.5,3,'Ca200',6
7,4,'Ca200',7
7.6,1,'Ca200',4
7.1,2,'Ca200',5
7.8,3,'Ca200',6
6.9,4,'Ca200',7
6.3,1,'Ca300',4
7.3,2,'Ca300',5
7.2,3,'Ca300',6
6.8,4,'Ca300',7
6.7,1,'Ca300',4
7.5,2,'Ca300',5
7.3,3,'Ca300',6
6.6,4,'Ca300',7
6.1,1,'Ca300',4
7.2,2,'Ca300',5
7,3,'Ca300',6
6.4,4,'Ca300',7
