'Day','Cars','Week'
'Mon',52,1
'Mon',51,2
'Mon',52,3
'Mon',54,4
'Mon',56,5
'Mon',54,6
'Mon',51,7
'Mon',56,8
'Mon',51,9
'Mon',48,10
'Mon',52,11
'Mon',53,12
'Tue',47,1
'Tue',50,2
'Tue',50,3
'Tue',51,4
'Tue',55,5
'Tue',51,6
'Tue',49,7
'Tue',54,8
'Tue',49,9
'Tue',46,10
'Tue',51,11
'Tue',50,12
'Wed',49,1
'Wed',50,2
'Wed',50,3
'Wed',52,4
'Wed',54,5
'Wed',51,6
'Wed',49,7
'Wed',54,8
'Wed',49,9
'Wed',47,10
'Wed',52,11
'Wed',50,12
'Thu',49,1
'Thu',50,2
'Thu',49,3
'Thu',52,4
'Thu',54,5
'Thu',50,6
'Thu',48,7
'Thu',54,8
'Thu',49,9
'Thu',46,10
'Thu',51,11
'Thu',51,12
'Fri',44,1
'Fri',48,2
'Fri',48,3
'Fri',50,4
'Fri',53,5
'Fri',50,6
'Fri',48,7
'Fri',52,8
'Fri',48,9
'Fri',45,10
'Fri',50,11
'Fri',51,12
