'Dentist','Method','hardness'
1,1,792
1,1,824
1,1,813
1,1,792
1,1,792
1,1,907
1,1,792
1,1,835
1,2,772
1,2,772
1,2,782
1,2,698
1,2,665
1,2,1115
1,2,835
1,2,870
1,3,782
1,3,803
1,3,752
1,3,620
1,3,835
1,3,847
1,3,560
1,3,585
2,1,803
2,1,803
2,1,715
2,1,803
2,1,813
2,1,858
2,1,907
2,1,882
2,2,752
2,2,772
2,2,772
2,2,782
2,2,743
2,2,933
2,2,792
2,2,824
2,3,715
2,3,707
2,3,835
2,3,715
2,3,673
2,3,698
2,3,734
2,3,681
3,1,715
3,1,724
3,1,743
3,1,627
3,1,752
3,1,858
3,1,762
3,1,724
3,2,792
3,2,715
3,2,813
3,2,743
3,2,613
3,2,824
3,2,847
3,2,782
3,3,762
3,3,606
3,3,743
3,3,681
3,3,743
3,3,715
3,3,824
3,3,681
4,1,673
4,1,946
4,1,792
4,1,743
4,1,762
4,1,894
4,1,792
4,1,649
4,2,657
4,2,743
4,2,690
4,2,882
4,2,772
4,2,813
4,2,870
4,2,858
4,3,690
4,3,245
4,3,493
4,3,707
4,3,289
4,3,715
4,3,813
4,3,312
5,1,634
5,1,715
5,1,707
5,1,698
5,1,715
5,1,772
5,1,1048
5,1,870
5,2,649
5,2,724
5,2,803
5,2,665
5,2,752
5,2,824
5,2,933
5,2,835
5,3,724
5,3,627
5,3,421
5,3,483
5,3,405
5,3,536
5,3,405
5,3,312
