'Temp','Pressure','Gauge'
15,40,'G1'
15,43,'G2'
15,42,'G3'
15,47,'G4'
15,40,'G1'
15,34,'G2'
15,35,'G3'
15,47,'G4'
15,37,'G1'
15,38,'G2'
15,35,'G3'
15,40,'G4'
15,47,'G1'
15,42,'G2'
15,41,'G3'
15,36,'G4'
15,42,'G1'
15,39,'G2'
15,43,'G3'
15,41,'G4'
15,41,'G1'
15,35,'G2'
15,36,'G3'
15,47,'G4'
25,57,'G1'
25,49,'G2'
25,44,'G3'
25,36,'G4'
25,57,'G1'
25,43,'G2'
25,45,'G3'
25,49,'G4'
25,65,'G1'
25,51,'G2'
25,49,'G3'
25,38,'G4'
25,67,'G1'
25,49,'G2'
25,45,'G3'
25,45,'G4'
25,63,'G1'
25,45,'G2'
25,46,'G3'
25,38,'G4'
25,59,'G1'
25,43,'G2'
25,43,'G3'
25,42,'G4'
35,35,'G1'
35,41,'G2'
35,42,'G3'
35,41,'G4'
35,35,'G1'
35,43,'G2'
35,41,'G3'
35,44,'G4'
35,35,'G1'
35,44,'G2'
35,34,'G3'
35,35,'G4'
35,46,'G1'
35,36,'G2'
35,35,'G3'
35,46,'G4'
35,41,'G1'
35,42,'G2'
35,39,'G3'
35,44,'G4'
35,42,'G1'
35,41,'G2'
35,36,'G3'
35,46,'G4'
