'Model','Car','Time','Efficiency'
1,1,1,1.43
1,1,2,1.47
1,1,3,1.39
1,1,4,1.4
1,1,5,1.44
1,2,1,1.5
1,2,2,1.41
1,2,3,1.51
1,2,4,1.53
1,2,5,1.41
1,3,1,1.79
1,3,2,1.88
1,3,3,1.89
1,3,4,2
1,3,5,1.9
1,4,1,1.87
1,4,2,1.78
1,4,3,2
1,4,4,2
1,4,5,2.11
1,5,1,1.85
1,5,2,1.89
1,5,3,1.93
1,5,4,1.86
1,5,5,1.81
1,6,1,1.89
1,6,2,1.66
1,6,3,1.78
1,6,4,1.77
1,6,5,1.67
2,1,1,1.63
2,1,2,1.62
2,1,3,1.64
2,1,4,1.63
2,1,5,1.53
2,2,1,1.81
2,2,2,1.83
2,2,3,1.84
2,2,4,1.83
2,2,5,1.86
2,3,1,2.25
2,3,2,2.1
2,3,3,2.34
2,3,4,2.27
2,3,5,2.32
2,4,1,1.79
2,4,2,1.8
2,4,3,1.92
2,4,4,2.03
2,4,5,2.02
2,5,1,2.11
2,5,2,2
2,5,3,2.33
2,5,4,2.46
2,5,5,2.35
2,6,1,2.1
2,6,2,2.03
2,6,3,2
2,6,4,2.09
2,6,5,1.87
