'Sweetner','texture','Container','Blending_time'
'Control',7,1,1
'Control',10,1,2
'Control',17,1,5
'Control',22,1,8
'Control',4,2,1
'Control',4,2,2
'Control',11,2,5
'Control',23,2,8
'Control',4,3,1
'Control',11,3,2
'Control',10,3,5
'Control',31,3,8
'Aspartame',8,1,1
'Aspartame',12,1,2
'Aspartame',22,1,5
'Aspartame',27,1,8
'Aspartame',6,2,1
'Aspartame',7,2,2
'Aspartame',27,2,5
'Aspartame',30,2,8
'Aspartame',9,3,1
'Aspartame',8,3,2
'Aspartame',29,3,5
'Aspartame',32,3,8
'Saccharin',7,1,1
'Saccharin',8,1,2
'Saccharin',21,1,5
'Saccharin',35,1,8
'Saccharin',1,2,1
'Saccharin',4,2,2
'Saccharin',13,2,5
'Saccharin',25,2,8
'Saccharin',5,3,1
'Saccharin',4,3,2
'Saccharin',13,3,5
'Saccharin',28,3,8
'Sucralose',3,1,1
'Sucralose',11,1,2
'Sucralose',21,1,5
'Sucralose',37,1,8
'Sucralose',1,2,1
'Sucralose',12,2,2
'Sucralose',25,2,5
'Sucralose',31,2,8
'Sucralose',4,3,1
'Sucralose',9,3,2
'Sucralose',27,3,5
'Sucralose',32,3,8
