'Grade','NaNO2','Runs','Processors'
'Q1',253,'R1','P1'
'Q1',265,'R2','P1'
'Q1',253,'R3','P1'
'Q1',230,'R4','P2'
'Q1',234,'R5','P2'
'Q1',231,'R6','P2'
'Q1',225,'R7','P3'
'Q1',228,'R8','P3'
'Q1',232,'R9','P3'
'Q1',256,'R1','P1'
'Q1',270,'R2','P1'
'Q1',251,'R3','P1'
'Q1',226,'R4','P2'
'Q1',239,'R5','P2'
'Q1',232,'R6','P2'
'Q1',229,'R7','P3'
'Q1',227,'R8','P3'
'Q1',232,'R9','P3'
'Q2',262,'R1','P1'
'Q2',263,'R2','P1'
'Q2',255,'R3','P1'
'Q2',257,'R4','P2'
'Q2',268,'R5','P2'
'Q2',265,'R6','P2'
'Q2',277,'R7','P3'
'Q2',276,'R8','P3'
'Q2',289,'R9','P3'
'Q2',260,'R1','P1'
'Q2',266,'R2','P1'
'Q2',264,'R3','P1'
'Q2',267,'R4','P2'
'Q2',258,'R5','P2'
'Q2',266,'R6','P2'
'Q2',276,'R7','P3'
'Q2',277,'R8','P3'
'Q2',287,'R9','P3'
'Q3',279,'R1','P1'
'Q3',285,'R2','P1'
'Q3',277,'R3','P1'
'Q3',275,'R4','P2'
'Q3',286,'R5','P2'
'Q3',284,'R6','P2'
'Q3',280,'R7','P3'
'Q3',278,'R8','P3'
'Q3',282,'R9','P3'
'Q3',279,'R1','P1'
'Q3',288,'R2','P1'
'Q3',272,'R3','P1'
'Q3',272,'R4','P2'
'Q3',283,'R5','P2'
'Q3',284,'R6','P2'
'Q3',276,'R7','P3'
'Q3',277,'R8','P3'
'Q3',282,'R9','P3'
