'Tick','SD','Days','Response'
1,2.98,1,0.54
2,2.98,1,0.69
3,2.98,1,0.77
4,2.98,1,0.64
5,2.98,1,0.51
1,2.98,2,0.59
2,2.98,2,0.75
3,2.98,2,0.8
4,2.98,2,0.69
5,2.98,2,0.58
1,2.98,3,0.64
2,2.98,3,0.81
3,2.98,3,0.87
4,2.98,3,0.77
5,2.98,3,0.62
1,2.98,4,0.73
2,2.98,4,0.9
3,2.98,4,0.94
4,2.98,4,0.83
5,2.98,4,0.71
1,2.98,5,0.76
2,2.98,5,0.97
3,2.98,5,1.01
4,2.98,5,0.88
5,2.98,5,0.74
1,2.98,6,0.89
2,2.98,6,1.2
3,2.98,6,1.1
4,2.98,6,0.96
5,2.98,6,0.81
1,2.98,7,0.93
2,2.98,7,1.14
3,2.98,7,1.17
4,2.98,7,1.04
5,2.98,7,0.88
1,2.98,8,1.01
2,2.98,8,1.19
3,2.98,8,1.24
4,2.98,8,1.09
5,2.98,8,0.93
1,2.98,9,1.08
2,2.98,9,1.26
3,2.98,9,1.34
4,2.98,9,1.2
5,2.98,9,0.99
1,2.98,10,1.15
2,2.98,10,1.38
3,2.98,10,1.41
4,2.98,10,1.23
5,2.98,10,1.03
1,2.98,11,1.23
2,2.98,11,1.43
3,2.98,11,1.51
4,2.98,11,1.31
5,2.98,11,1.13
1,4.83,1,0.64
2,4.83,1,0.8
3,4.83,1,0.79
4,4.83,1,0.77
5,4.83,1,0.79
1,4.83,2,0.71
2,4.83,2,0.91
3,4.83,2,0.85
4,4.83,2,0.82
5,4.83,2,0.84
1,4.83,3,0.77
2,4.83,3,0.97
3,4.83,3,0.89
4,4.83,3,0.88
5,4.83,3,0.91
1,4.83,4,0.89
2,4.83,4,1.01
3,4.83,4,0.99
4,4.83,4,0.92
5,4.83,4,0.98
1,4.83,5,0.9
2,4.83,5,1.11
3,4.83,5,1.04
4,4.83,5,1.01
5,4.83,5,1.07
1,4.83,6,1
2,4.83,6,1.19
3,4.83,6,1.05
4,4.83,6,1.09
5,4.83,6,1.14
1,4.83,7,1.06
2,4.83,7,1.29
3,4.83,7,1.16
4,4.83,7,1.19
5,4.83,7,1.19
1,4.83,8,1.14
2,4.83,8,1.31
3,4.83,8,1.21
4,4.83,8,1.27
5,4.83,8,1.31
1,4.83,9,1.22
2,4.83,9,1.37
3,4.83,9,1.32
4,4.83,9,1.35
5,4.83,9,1.37
1,4.83,10,1.34
2,4.83,10,1.47
3,4.83,10,1.39
4,4.83,10,1.44
5,4.83,10,1.46
1,4.83,11,1.39
2,4.83,11,1.54
3,4.83,11,1.47
4,4.83,11,1.58
