'Level_E','Weights','Animal','Week'
'C',455,1,1
'C',460,1,2
'C',510,1,3
'C',504,1,4
'C',436,1,5
'C',466,1,6
'C',467,2,1
'C',565,2,2
'C',610,2,3
'C',596,2,4
'C',542,2,5
'C',587,2,6
'C',445,3,1
'C',530,3,2
'C',580,3,3
'C',597,3,4
'C',582,3,5
'C',619,3,6
'C',485,4,1
'C',542,4,2
'C',594,4,3
'C',583,4,4
'C',611,4,5
'C',612,4,6
'C',480,5,1
'C',500,5,2
'C',550,5,3
'C',528,5,4
'C',562,5,5
'C',576,5,6
'L',514,6,1
'L',560,6,2
'L',565,6,3
'L',524,6,4
'L',552,6,5
'L',597,6,6
'L',440,7,1
'L',480,7,2
'L',536,7,3
'L',484,7,4
'L',567,7,5
'L',569,7,6
'L',495,8,1
'L',570,8,2
'L',569,8,3
'L',585,8,4
'L',576,8,5
'L',677,8,6
'L',520,9,1
'L',590,9,2
'L',610,9,3
'L',637,9,4
'L',671,9,5
'L',702,9,6
'L',503,10,1
'L',555,10,2
'L',591,10,3
'L',605,10,4
'L',649,10,5
'L',675,10,6
'H',496,11,1
'H',560,11,2
'H',622,11,3
'H',622,11,4
'H',632,11,5
'H',670,11,6
'H',498,12,1
'H',540,12,2
'H',589,12,3
'H',557,12,4
'H',568,12,5
'H',609,12,6
'H',478,13,1
'H',510,13,2
'H',568,13,3
'H',555,13,4
'H',576,13,5
'H',605,13,6
'H',545,14,1
'H',565,14,2
'H',580,14,3
'H',601,14,4
'H',633,14,5
'H',649,14,6
'H',472,15,1
'H',498,15,2
'H',540,15,3
'H',524,15,4
'H',532,15,5
'H',583,15,6
