'Treatment','Tract','D. spicata','Dates'
'Burned',1,27,10/1/1992
'Burned',1,25,7/1/1993
'Burned',1,18,10/1/1993
'Burned',1,21,1/1/1994
'Burned',1,26,4/1/1994
'Burned',1,22,7/1/1994
'Burned',1,20,10/1/1994
'Burned',1,27,1/1/1995
'Burned',2,5,10/1/1992
'Burned',2,15,7/1/1993
'Burned',2,10,10/1/1993
'Burned',2,12,1/1/1994
'Burned',2,10,4/1/1994
'Burned',2,11,7/1/1994
'Burned',2,12,10/1/1994
'Burned',2,9,1/1/1995
'Burned',3,17,10/1/1992
'Burned',3,26,7/1/1993
'Burned',3,26,10/1/1993
'Burned',3,25,1/1/1994
'Burned',3,15,4/1/1994
'Burned',3,10,7/1/1994
'Burned',3,14,10/1/1994
'Burned',3,17,1/1/1995
'Burned',4,41,10/1/1992
'Burned',4,41,7/1/1993
'Burned',4,42,10/1/1993
'Burned',4,38,1/1/1994
'Burned',4,34,4/1/1994
'Burned',4,26,7/1/1994
'Burned',4,26,10/1/1994
'Burned',4,25,1/1/1995
'Burned',5,25,10/1/1992
'Burned',5,28,7/1/1993
'Burned',5,22,10/1/1993
'Burned',5,27,1/1/1994
'Burned',5,24,4/1/1994
'Burned',5,16,7/1/1994
'Burned',5,18,10/1/1994
'Burned',5,23,1/1/1995
'Burned',6,11,10/1/1992
'Burned',6,24,7/1/1993
'Burned',6,13,10/1/1993
'Burned',6,20,1/1/1994
'Burned',6,16,4/1/1994
'Burned',6,13,7/1/1994
'Burned',6,10,10/1/1994
'Burned',6,14,1/1/1995
'Burned',7,37,10/1/1992
'Burned',7,40,7/1/1993
'Burned',7,33,10/1/1993
'Burned',7,31,1/1/1994
'Burned',7,32,4/1/1994
'Burned',7,30,7/1/1994
'Burned',7,25,10/1/1994
'Burned',7,31,1/1/1995
'Burned',8,38,10/1/1992
'Burned',8,38,7/1/1993
'Burned',8,33,10/1/1993
'Burned',8,38,1/1/1994
'Burned',8,39,4/1/1994
'Burned',8,35,7/1/1994
'Burned',8,32,10/1/1994
'Burned',8,38,1/1/1995
'Burned',9,31,10/1/1992
'Burned',9,33,7/1/1993
'Burned',9,25,10/1/1993
'Burned',9,30,1/1/1994
'Burned',9,28,4/1/1994
'Burned',9,21,7/1/1994
'Burned',9,17,10/1/1994
'Burned',9,19,1/1/1995
'Burned',10,24,10/1/1992
'Burned',10,25,7/1/1993
'Burned',10,21,10/1/1993
'Burned',10,24,1/1/1994
'Burned',10,24,4/1/1994
'Burned',10,19,7/1/1994
'Burned',10,17,10/1/1994
'Burned',10,22,1/1/1995
'Burned',11,22,10/1/1992
'Burned',11,27,7/1/1993
'Burned',11,31,10/1/1993
'Burned',11,30,1/1/1994
'Burned',11,32,4/1/1994
'Burned',11,30,7/1/1994
'Burned',11,25,10/1/1994
'Burned',11,34,1/1/1995
'Burned',12,26,10/1/1992
'Burned',12,45,7/1/1993
'Burned',12,39,10/1/1993
'Burned',12,35,1/1/1994
'Burned',12,35,4/1/1994
'Burned',12,36,7/1/1994
'Burned',12,30,10/1/1994
'Burned',12,27,1/1/1995
'Burned',13,32,10/1/1992
'Burned',13,38,7/1/1993
'Burned',13,34,10/1/1993
'Burned',13,45,1/1/1994
'Burned',13,41,4/1/1994
'Burned',13,28,7/1/1994
'Burned',13,31,10/1/1994
'Burned',13,31,1/1/1995
'Burned',14,35,10/1/1992
'Burned',14,37,7/1/1993
'Burned',14,35,10/1/1993
'Burned',14,42,1/1/1994
'Burned',14,35,4/1/1994
'Burned',14,32,7/1/1994
'Burned',14,27,10/1/1994
'Burned',14,29,1/1/1995
'Burned',15,26,10/1/1992
'Burned',15,23,7/1/1993
'Burned',15,19,10/1/1993
'Burned',15,18,1/1/1994
'Burned',15,21,4/1/1994
'Burned',15,13,7/1/1994
'Burned',15,11,10/1/1994
'Burned',15,19,1/1/1995
'Burned',16,22,10/1/1992
'Burned',16,29,7/1/1993
'Burned',16,24,10/1/1993
'Burned',16,24,1/1/1994
'Burned',16,20,4/1/1994
'Burned',16,16,7/1/1994
'Burned',16,18,10/1/1994
'Burned',16,24,1/1/1995
'Burned',17,50,10/1/1992
'Burned',17,54,7/1/1993
'Burned',17,56,10/1/1993
'Burned',17,60,1/1/1994
'Burned',17,51,4/1/1994
'Burned',17,52,7/1/1994
'Burned',17,49,10/1/1994
'Burned',17,52,1/1/1995
'Burned',18,17,10/1/1992
'Burned',18,29,7/1/1993
'Burned',18,23,10/1/1993
'Burned',18,39,1/1/1994
'Burned',18,31,4/1/1994
'Burned',18,24,7/1/1994
'Burned',18,26,10/1/1994
'Burned',18,34,1/1/1995
'Burned',19,25,10/1/1992
'Burned',19,37,7/1/1993
'Burned',19,29,10/1/1993
'Burned',19,32,1/1/1994
'Burned',19,28,4/1/1994
'Burned',19,14,7/1/1994
'Burned',19,13,10/1/1994
'Burned',19,24,1/1/1995
'Burned',20,33,10/1/1992
'Burned',20,39,7/1/1993
'Burned',20,39,10/1/1993
'Burned',20,48,1/1/1994
'Burned',20,36,4/1/1994
'Burned',20,34,7/1/1994
'Burned',20,30,10/1/1994
'Burned',20,34,1/1/1995
'Control',1,7,10/1/1992
'Control',1,0,7/1/1993
'Control',1,0,10/1/1993
'Control',1,1,1/1/1994
'Control',1,0,4/1/1994
'Control',1,0,7/1/1994
'Control',1,0,10/1/1994
'Control',1,0,1/1/1995
'Control',2,57,10/1/1992
'Control',2,46,7/1/1993
'Control',2,49,10/1/1993
'Control',2,51,1/1/1994
'Control',2,48,4/1/1994
'Control',2,43,7/1/1994
'Control',2,40,10/1/1994
'Control',2,40,1/1/1995
'Control',3,43,10/1/1992
'Control',3,59,7/1/1993
'Control',3,59,10/1/1993
'Control',3,60,1/1/1994
'Control',3,58,4/1/1994
'Control',3,53,7/1/1994
'Control',3,55,10/1/1994
'Control',3,58,1/1/1995
'Control',4,43,10/1/1992
'Control',4,53,7/1/1993
'Control',4,52,10/1/1993
'Control',4,53,1/1/1994
'Control',4,53,4/1/1994
'Control',4,53,7/1/1994
'Control',4,52,10/1/1994
'Control',4,54,1/1/1995
'Control',5,59,10/1/1992
'Control',5,55,7/1/1993
'Control',5,59,10/1/1993
'Control',5,60,1/1/1994
'Control',5,54,4/1/1994
'Control',5,47,7/1/1994
'Control',5,54,10/1/1994
'Control',5,53,1/1/1995
'Control',6,42,10/1/1992
'Control',6,48,7/1/1993
'Control',6,50,10/1/1993
'Control',6,48,1/1/1994
'Control',6,43,4/1/1994
'Control',6,37,7/1/1994
'Control',6,38,10/1/1994
'Control',6,38,1/1/1995
'Control',7,35,10/1/1992
'Control',7,42,7/1/1993
'Control',7,50,10/1/1993
'Control',7,55,1/1/1994
'Control',7,41,4/1/1994
'Control',7,40,7/1/1994
'Control',7,44,10/1/1994
'Control',7,45,1/1/1995
'Control',8,40,10/1/1992
'Control',8,51,7/1/1993
'Control',8,53,10/1/1993
'Control',8,57,1/1/1994
'Control',8,53,4/1/1994
'Control',8,38,7/1/1994
'Control',8,43,10/1/1994
'Control',8,36,1/1/1995
'Control',9,24,10/1/1992
'Control',9,52,7/1/1993
'Control',9,54,10/1/1993
'Control',9,59,1/1/1994
'Control',9,57,4/1/1994
'Control',9,55,7/1/1994
'Control',9,57,10/1/1994
'Control',9,39,1/1/1995
'Control',10,42,10/1/1992
'Control',10,49,7/1/1993
'Control',10,50,10/1/1993
'Control',10,54,1/1/1994
'Control',10,51,4/1/1994
'Control',10,44,7/1/1994
'Control',10,39,10/1/1994
'Control',10,41,1/1/1995
'Control',11,16,10/1/1992
'Control',11,31,7/1/1993
'Control',11,39,10/1/1993
'Control',11,47,1/1/1994
'Control',11,24,4/1/1994
'Control',11,22,7/1/1994
'Control',11,33,10/1/1994
'Control',11,35,1/1/1995
'Control',12,54,10/1/1992
'Control',12,58,7/1/1993
'Control',12,60,10/1/1993
'Control',12,60,1/1/1994
'Control',12,54,4/1/1994
'Control',12,51,7/1/1994
'Control',12,48,10/1/1994
'Control',12,51,1/1/1995
'Control',13,30,10/1/1992
'Control',13,43,7/1/1993
'Control',13,43,10/1/1993
'Control',13,47,1/1/1994
'Control',13,39,4/1/1994
'Control',13,36,7/1/1994
'Control',13,49,10/1/1994
'Control',13,56,1/1/1995
'Control',14,47,10/1/1992
'Control',14,50,7/1/1993
'Control',14,60,10/1/1993
'Control',14,60,1/1/1994
'Control',14,54,4/1/1994
'Control',14,52,7/1/1994
'Control',14,57,10/1/1994
'Control',14,57,1/1/1995
'Control',15,40,10/1/1992
'Control',15,40,7/1/1993
'Control',15,47,10/1/1993
'Control',15,49,1/1/1994
'Control',15,43,4/1/1994
