'Phosphorus','Yields','Blocks','Soybeans'
0,53.5,'B1','V1'
0,44.8,'B1','V2'
0,50.7,'B1','V3'
0,62.2,'B2','V1'
0,52.5,'B2','V2'
0,61.4,'B2','V3'
0,53.4,'B3','V1'
0,43.1,'B3','V2'
0,50.6,'B3','V3'
30,60.6,'B1','V1'
30,51,'B1','V2'
30,54.9,'B1','V3'
30,68.8,'B2','V1'
30,58.7,'B2','V2'
30,64.9,'B2','V3'
30,59.5,'B3','V1'
30,49.6,'B3','V2'
30,54.8,'B3','V3'
60,60.8,'B1','V1'
60,51.5,'B1','V2'
60,59.4,'B1','V3'
60,70.9,'B2','V1'
60,59.4,'B2','V2'
60,70,'B2','V3'
60,61,'B3','V1'
60,49.7,'B3','V2'
60,60.5,'B3','V3'
90,59.6,'B1','V1'
90,49.9,'B1','V2'
90,64.7,'B1','V3'
90,67.8,'B2','V1'
90,58.1,'B2','V2'
90,74.4,'B2','V3'
90,60.3,'B3','V1'
90,49.5,'B3','V2'
90,65,'B3','V3'
