'Vehicle','Route','Blend','CO'
'V1','R1','B1','12.0'
'V2','R1','B2','10.1'
'V3','R1','B3','21.4'
'V4','R1','B4','15.4'
'V5','R1','B5','25.0'
'V6','R1','B6','18.9'
'V7','R1','B7','16.2'
'V8','R1','B8','29.5'
'V1','R2','B2','11.2'
'V2','R2','B3','12.2'
'V3','R2','B4','24.2'
'V4','R2','B5','20.3'
'V5','R2','B6','24.4'
'V6','R2','B7','20.9'
'V7','R2','B8','18.2'
'V8','R2','B1','21.3'
'V1','R3','B3','11.8'
'V2','R3','B4','12.1'
'V3','R3','B5','26.7'
'V4','R3','B6','17.5'
'V5','R3','B7','24.0'
'V6','R3','B8','25.2'
'V7','R3','B1','*'
'V8','R3','B2','18.3'
'V1','R4','B4','10.0'
'V2','R4','B5','12.4'
'V3','R4','B6','23.3'
'V4','R4','B7','17.6'
'V5','R4','B8','26.5'
'V6','R4','B1','8.3'
'V7','R4','B2','4.4'
'V8','R4','B3','16.1'
'V1','R5','B5','20.1'
'V2','R5','B6','18.4'
'V3','R5','B7','32.5'
'V4','R5','B8','25.3'
'V5','R5','B1','20.6'
'V6','R5','B2','15.6'
'V7','R5','B3','10.2'
'V8','R5','B4','26.0'
'V1','R6','B6','18.7'
'V2','R6','B7','18.6'
'V3','R6','B8','34.1'
'V4','R6','B1','12.2'
'V5','R6','B2','19.6'
'V6','R6','B3','15.1'
'V7','R6','B4','9.9'
'V8','R6','B5','26.4'
'V1','R7','B7','21.7'
'V2','R7','B8','22.3'
'V3','R7','B1','21.4'
'V4','R7','B2','12.4'
'V5','R7','B3','19.6'
'V6','R7','B4','17.4'
'V7','R7','B5','12.7'
'V8','R7','B6','26.0'
'V1','R8','B8','30.2'
'V2','R8','B1','15.0'
'V3','R8','B2','27.7'
'V4','R8','B3','18.9'
'V5','R8','B4','27.3'
'V6','R8','B5','25.9'
'V7','R8','B6','17.9'
'V8','R8','B7','35.0'
