'TEMP','GAUGE','PRESSUREDROP'
15,1,40
15,1,40
15,1,37
15,1,47
15,1,42
15,1,41
15,2,43
15,2,34
15,2,38
15,2,42
15,2,39
15,2,35
15,3,42
15,3,35
15,3,35
15,3,41
15,3,43
15,3,36
15,4,47
15,4,47
15,4,40
15,4,36
15,4,41
15,4,47
25,1,57
25,1,57
25,1,65
25,1,67
25,1,63
25,1,59
25,2,49
25,2,43
25,2,51
25,2,49
25,2,45
25,2,43
25,3,44
25,3,45
25,3,49
25,3,45
25,3,46
25,3,43
25,4,36
25,4,49
25,4,38
25,4,45
25,4,38
25,4,42
35,1,35
35,1,35
35,1,35
35,1,46
35,1,41
35,1,42
35,2,41
35,2,43
35,2,44
35,2,36
35,2,42
35,2,41
35,3,42
35,3,41
35,3,34
35,3,35
35,3,39
35,3,36
35,4,41
35,4,44
35,4,35
35,4,46
35,4,44
35,4,46
