'Property','Assessor','A1','A9','A10','A11','A12','A13','A14','A15','A16'
1,'A1',,,,,,,,,
2,'A1',,,,,,,,,
3,'A1',110,,,,,,,,
4,'A1',,,,,,,,,
5,'A1',150,,,,,,,,
6,'A1',,,,,,,,,
7,'A1',134,,,,,,,,
8,'A1',157,,,,,,,,
9,'A1',,,,,,,,,
10,'A1',,,,,,,,,
11,'A1',155,,,,,,,,
12,'A1',,,,,,,,,
13,'A1',,,,,,,,,
14,'A1',115,,,,,,,,
15,'A1',,,,,,,,,
16,'A1',,,,,,,,,
1,'A2',,,,,,,,,
2,'A2',,,,,,,,,
3,'A2',,,,,,,,,
4,'A2',131,,,,,,,,
5,'A2',154,,,,,,,,
6,'A2',138,,,,,,,,
7,'A2',,,,,,,,,
8,'A2',159,,,,,,,,
9,'A2',,,,,,,,,
10,'A2',,,,,,,,,
11,'A2',,,,,,,,,
12,'A2',118,,,,,,,,
13,'A2',,,,,,,,,
14,'A2',,,,,,,,,
15,'A2',115,,,,,,,,
16,'A2',,,,,,,,,
1,'A3',,,,,,,,,
2,'A3',,,,,,,,,
3,'A3',,,,,,,,,
4,'A3',150,,,,,,,,
5,'A3',152,,,,,,,,
6,'A3',,,,,,,,,
7,'A3',,,,,,,,,
8,'A3',,,,,,,,,
9,'A3',156,,,,,,,,
10,'A3',156,,,,,,,,
11,'A3',158,,,,,,,,
12,'A3',,,,,,,,,
13,'A3',152,,,,,,,,
14,'A3',,,,,,,,,
15,'A3',,,,,,,,,
16,'A3',,,,,,,,,
1,'A4',125,,,,,,,,
2,'A4',126,,,,,,,,
3,'A4',,,,,,,,,
4,'A4',157,,,,,,,,
5,'A4',,,,,,,,,
6,'A4',,,,,,,,,
7,'A4',,,,,,,,,
8,'A4',150,,,,,,,,
9,'A4',,,,,,,,,
10,'A4',,,,,,,,,
11,'A4',157,,,,,,,,
12,'A4',,,,,,,,,
13,'A4',,,,,,,,,
14,'A4',,,,,,,,,
15,'A4',,,,,,,,,
16,'A4',157,,,,,,,,
1,'A5',120,,,,,,,,
2,'A5',,,,,,,,,
3,'A5',,,,,,,,,
4,'A5',,,,,,,,,
5,'A5',125,,,,,,,,
6,'A5',118,,,,,,,,
7,'A5',144,,,,,,,,
8,'A5',,,,,,,,,
9,'A5',155,,,,,,,,
10,'A5',,,,,,,,,
11,'A5',,,,,,,,,
12,'A5',,,,,,,,,
13,'A5',,,,,,,,,
14,'A5',,,,,,,,,
15,'A5',,,,,,,,,
16,'A5',120,,,,,,,,
1,'A6',,,,,,,,,
2,'A6',118,,,,,,,,
3,'A6',,,,,,,,,
4,'A6',,,,,,,,,
5,'A6',,,,,,,,,
6,'A6',110,,,,,,,,
7,'A6',146,,,,,,,,
8,'A6',134,,,,,,,,
9,'A6',,,,,,,,,
10,'A6',128,,,,,,,,
11,'A6',,,,,,,,,
12,'A6',,,,,,,,,
13,'A6',111,,,,,,,,
14,'A6',,,,,,,,,
15,'A6',,,,,,,,,
16,'A6',,,,,,,,,
1,'A7',,,,,,,,,
2,'A7',,,,,,,,,
3,'A7',,,,,,,,,
4,'A7',125,,,,,,,,
5,'A7',,,,,,,,,
6,'A7',,,,,,,,,
7,'A7',130,,,,,,,,
8,'A7',,,,,,,,,
9,'A7',,,,,,,,,
10,'A7',,,,,,,,,
11,'A7',,,,,,,,,
12,'A7',110,,,,,,,,
13,'A7',150,,,,,,,,
14,'A7',112,,,,,,,,
15,'A7',110,,,,,,,,
16,'A7',150,,,,,,,,
1,'A8',,,,,,,,,
2,'A8',110,,,,,,,,
3,'A8',,,,,,,,,
4,'A8',,,,,,,,,
5,'A8',157,,,,,,,,
6,'A8',,,,,,,,,
7,'A8',,,,,,,,,
8,'A8',,,,,,,,,
9,'A8',,,,,,,,,
10,'A8',155,,,,,,,,
11,'A8',,,,,,,,,
12,'A8',,,,,,,,,
13,'A8',,,,,,,,,
14,'A8',110,,,,,,,,
15,'A8',145,,,,,,,,
16,'A8',135,,,,,,,,
1,'A9',,,,,,,,,
2,'A9',,,,,,,,,
3,'A9',125,,,,,,,,
4,'A9',,,,,,,,,
5,'A9',,,,,,,,,
6,'A9',120,,,,,,,,
7,'A9',,,,,,,,,
8,'A9',,,,,,,,,
9,'A9',,,,,,,,,
10,'A9',,,,,,,,,
11,'A9',142,,,,,,,,
12,'A9',,,,,,,,,
13,'A9',112,,,,,,,,
14,'A9',,,,,,,,,
15,'A9',,,,,,,,,
16,'A9',120,,,,,,,,
1,'A10',112,,,,,,,,
2,'A10',128,,,,,,,,
3,'A10',118,,,,,,,,
4,'A10',,,,,,,,,
5,'A10',139,,,,,,,,
6,'A10',,,,,,,,,
7,'A10',,,,,,,,,
8,'A10',,,,,,,,,
9,'A10',,,,,,,,,
10,'A10',,,,,,,,,
11,'A10',,,,,,,,,
12,'A10',113,,,,,,,,
13,'A10',128,,,,,,,,
14,'A10',,,,,,,,,
15,'A10',,,,,,,,,
16,'A10',,,,,,,,,
1,'A11',,,,,,,,,
2,'A11',125,,,,,,,,
3,'A11',138,,,,,,,,
4,'A11',150,,,,,,,,
5,'A11',,,,,,,,,
6,'A11',124,,,,,,,,
7,'A11',,,,,,,,,
8,'A11',,,,,,,,,
9,'A11',150,,,,,,,,
10,'A11',,,,,,,,,
11,'A11',,,,,,,,,
12,'A11',,,,,,,,,
13,'A11',,,,,,,,,
14,'A11',135,,,,,,,,
15,'A11',135,,,,,,,,
16,'A11',,,,,,,,,
1,'A12',115,,,,,,,,
2,'A12',,,,,,,,,
3,'A12',110,,,,,,,,
4,'A12',156,,,,,,,,
5,'A12',,,,,,,,,
6,'A12',,,,,,,,,
7,'A12',130,,,,,,,,
8,'A12',,,,,,,,,
9,'A12',,,,,,,,,
10,'A12',153,,,,,,,,
11,'A12',,,,,,,,,
12,'A12',,,,,,,,,
13,'A12',,,,,,,,,
14,'A12',135,,,,,,,,
15,'A12',,,,,,,,,
16,'A12',,,,,,,,,
1,'A13',118,,,,,,,,
2,'A13',,,,,,,,,
3,'A13',,,,,,,,,
4,'A13',,,,,,,,,
5,'A13',,,,,,,,,
6,'A13',129,,,,,,,,
7,'A13',,,,,,,,,
8,'A13',,,,,,,,,
9,'A13',,,,,,,,,
10,'A13',155,,,,,,,,
11,'A13',123,,,,,,,,
12,'A13',118,,,,,,,,
13,'A13',,,,,,,,,
14,'A13',130,,,,,,,,
15,'A13',,,,,,,,,
16,'A13',,,,,,,,,
1,'A14',,,,,,,,,
2,'A14',125,,,,,,,,
3,'A14',,,,,,,,,
4,'A14',,,,,,,,,
5,'A14',,,,,,,,,
6,'A14',,,,,,,,,
7,'A14',145,,,,,,,,
8,'A14',,,,,,,,,
9,'A14',138,,,,,,,,
10,'A14',,,,,,,,,
11,'A14',155,,,,,,,,
12,'A14',125,,,,,,,,
13,'A14',,,,,,,,,
14,'A14',,,,,,,,,
15,'A14',124,,,,,,,,
16,'A14',,,,,,,,,
1,'A15',110,,,,,,,,
2,'A15',,,,,,,,,
3,'A15',,,,,,,,,
4,'A15',,,,,,,,,
5,'A15',,,,,,,,,
6,'A15',,,,,,,,,
7,'A15',,,,,,,,,
8,'A15',120,,,,,,,,
9,'A15',124,,,,,,,,
10,'A15',,,,,,,,,
11,'A15',,,,,,,,,
12,'A15',,,,,,,,,
13,'A15',130,,,,,,,,
14,'A15',128,,,,,,,,
15,'A15',120,,,,,,,,
16,'A15',,,,,,,,,
1,'A16',,,,,,,,,
2,'A16',,,,,,,,,
3,'A16',126,,,,,,,,
4,'A16',,,,,,,,,
5,'A16',,,,,,,,,
6,'A16',,,,,,,,,
7,'A16',,,,,,,,,
8,'A16',158,,,,,,,,
9,'A16',156,,,,,,,,
10,'A16',122,,,,,,,,
11,'A16',,,,,,,,,
12,'A16',111,,,,,,,,
13,'A16',,,,,,,,,
14,'A16',,,,,,,,,
15,'A16',,,,,,,,,
16,'A16',132,,,,,,,,
