'State'	'Sample'	'Bush-Exit'	'Kerry-Exit'	'Bush-actual'	'Kerry-actual'
'Colorado'	2515	0.499	0.481	0.52	0.468
'Florida'	2223	0.488	0.492	0.494	0.498
'Iowa'	2846	0.498	0.497	0.521	0.471
'Michigan'	2502	0.484	0.497	0.501	0.492
'Minnesota'	2452	0.465	0.511	0.478	0.512
'Nevada'	2178	0.445	0.535	0.476	0.511
'New Hampshire'	2116	0.479	0.492	0.505	0.479
'New Mexico'	1849	0.441	0.549	0.49	0.503
'Ohio'	1951	0.475	0.501	0.5	0.489
'Pennsylvania'	1963	0.479	0.521	0.51	0.485
'Wisconsin'	1930	0.454	0.541	0.486	0.508
