'State'	'1985'	'1996'	'2002'
1	70.4	71	73.5
2	61.2	62.9	67.3
3	64.7	62	65.9
4	66.6	66.6	70.2
5	54.2	55	58
6	63.6	64.5	69.1
7	69	69	71.6
8	70.3	71.5	75.6
9	37.4	40.4	44.1
10	67.2	67.1	68.7
11	62.7	69.3	71.7
12	51	50.6	57.4
13	71	71.4	73
14	60.6	68.2	70.2
15	67.6	74.2	75
16	69.9	72.8	73.9
17	68.3	67.5	70.2
18	68.5	73.2	73.5
19	70.2	64.9	67.1
20	73.7	76.5	73.9
21	65.6	66.9	72
22	60.5	61.7	62.7
23	70.7	73.3	76
24	70	75.4	77.3
25	69.6	73	74.8
26	69.2	70.2	74.6
27	66.5	68.6	69.3
28	68.5	66.8	68.4
29	57	61.1	65.5
30	65.5	65	69.5
31	62.3	64.6	67.2
32	68.2	67.1	70.3
33	50.3	52.7	55
34	68	70.4	70
35	69.9	68.2	69.5
36	67.9	69.2	72
37	70.5	68.4	69.4
38	61.5	63.1	66.2
39	71.6	71.7	74
40	61.4	56.6	59.6
41	72	72.9	77.3
42	67.6	67.8	71.5
43	67.6	68.8	70.1
44	60.5	61.8	63.8
45	71.5	72.7	72.7
46	69.5	70.3	70.2
47	68.5	68.5	74.3
48	66.8	63.1	67
49	75.9	74.3	77
50	63.8	68.2	72
51	73.2	68	72.8
