'Year'	'Month'	'Sales'
1	1	101.9
2	1	109
3	1	115.5
4	1	122
5	1	128.1
1	2	93
2	2	98.4
3	2	104.5
4	2	110.4
5	2	115.8
1	3	93.5
2	3	99.1
3	3	105.1
4	3	110.8
5	3	116
1	4	93.9
2	4	110.7
3	4	105.4
4	4	111.2
5	4	117.2
1	5	104.9
2	5	100.2
3	5	117.5
4	5	124.4
5	5	130.7
1	6	94.6
2	6	112.1
3	6	106.4
4	6	112.4
5	6	117.5
1	7	105.9
2	7	123.8
3	7	118.6
4	7	124.9
5	7	131.8
1	8	116.7
2	8	135.8
3	8	130.9
4	8	138
5	8	145.5
1	9	128.4
2	9	124.8
3	9	143.7
4	9	151.5
5	9	159.3
1	10	118.2
2	10	114.1
3	10	132.2
4	10	139.5
5	10	146.5
1	11	107.3
2	11	114.9
3	11	120.8
4	11	127.7
5	11	134
1	12	108.6
2	12	112.9
3	12	121.3
4	12	128
5	12	134.2
