'NumberMembers'	'Expenditures'
1	67
1	62
1	168
1	128
1	131
1	118
1	80
1	53
1	99
1	68
1	76
1	55
1	84
1	77
1	70
1	140
1	84
1	65
1	67
1	183
2	129
2	116
2	122
2	70
2	141
2	102
2	120
2	75
2	114
2	81
2	106
2	95
2	94
2	98
2	85
2	81
2	67
2	69
2	119
2	105
2	94
2	94
2	92
3	79
3	99
3	171
3	145
3	86
3	100
3	116
3	125
3	82
3	142
3	82
3	94
3	85
3	191
3	100
3	116
4	139
4	251
4	93
4	155
4	158
4	114
4	108
4	111
4	106
4	99
4	132
4	62
4	129
4	91
5	121
5	128
5	129
5	140
5	206
5	111
5	104
5	109
5	135
5	136
