'School'	'Math'	'Reading'	'%Minority'	'%Poverty'	'N'
1	197.1	186.6	81	92.9	42
2	194.9	200.1	83.3	88.1	42
3	192.9	194.5	56	80	50
4	193.3	189.9	92.6	75.9	54
5	197.7	199.6	21.7	67.4	46
6	193.2	193.6	70.4	76.1	71
7	198	200.9	64.1	67.9	78
8	205.2	203.5	45.5	61	77
9	210.2	223.3	34.7	73.5	49
10	204.8	199	29.4	55.9	34
11	205.7	202.8	42.3	71.2	52
12	201.2	207.8	15.8	51.3	76
13	205.2	203.3	19.8	41.2	131
14	212.7	211.4	26.7	41.6	101
15					
16	209.6	206.5	22.4	37.3	67
17	223.5	217.7	14.3	30.2	63
18	222.8	218	16.8	24.8	137
19					
20	228.1	222.4	20.6	23.5	102
21	221	221	10.5	13.2	114
22					
