'Sample'	'Mean'	'Lower'	'Upper'	'Interval'
1	27.6609	24.5619	30.7599	'Yes'
2	27.8315	24.7325	30.9305	'Yes'
3	25.9366	22.8376	29.0356	'Yes'
4	26.6584	23.5594	29.7574	'Yes'
5	26.5366	23.4376	29.6356	'Yes'
6	25.9903	22.8913	29.0893	'Yes'
7	29.2381	26.1391	32.3371	'Yes'
8	26.7698	23.6708	29.8688	'Yes'
9	25.7277	22.6287	28.8267	'Yes'
10	26.3698	23.2708	29.4688	'Yes'
11	29.498	26.399	32.597	'Yes'
12	25.1405	22.0415	28.2395	'Yes'
13	26.9266	23.8276	30.0256	'Yes'
14	27.721	24.622	30.82	'Yes'
15	30.1959	27.0969	33.2949	'No'
16	26.5623	23.4633	29.6613	'Yes'
17	26.0859	22.9869	29.1849	'Yes'
18	26.3585	23.2595	29.4575	'Yes'
19	27.4504	24.3514	30.5494	'Yes'
20	28.6304	25.5314	31.7294	'Yes'
21	26.6415	23.5425	29.7405	'Yes'
22	25.6783	22.5793	28.7773	'Yes'
23	22.029	18.93	25.128	'No'
24	24.4749	21.3759	27.5739	'Yes'
25	25.7687	22.6697	28.8677	'Yes'
26	29.1375	26.0385	32.2365	'Yes'
27	26.4457	23.3467	29.5447	'Yes'
28	27.4909	24.3919	30.5899	'Yes'
29	27.8137	24.7147	30.9127	'Yes'
30	29.31	26.211	32.409	'Yes'
31	26.6455	23.5465	29.7445	'Yes'
32	27.9707	24.8717	31.0697	'Yes'
33	26.7505	23.6515	29.8495	'Yes'
34	24.9366	21.8376	28.0356	'Yes'
35	27.9943	24.8953	31.0933	'Yes'
36	27.3375	24.2385	30.4365	'Yes'
37	29.4787	26.3797	32.5777	'Yes'
38	26.9669	23.8679	30.0659	'Yes'
39	26.9031	23.8041	30.0021	'Yes'
40	27.2275	24.1285	30.3265	'Yes'
41	30.1865	27.0875	33.2855	'No'
42	26.4936	23.3946	29.5926	'Yes'
43	25.8962	22.7972	28.9952	'Yes'
44	24.5377	21.4387	27.6367	'Yes'
45	26.1798	23.0808	29.2788	'Yes'
46	26.747	23.648	29.846	'Yes'
47	28.0406	24.9416	31.1396	'Yes'
48	26.0824	22.9834	29.1814	'Yes'
49	25.627	22.528	28.726	'Yes'
50	23.7449	20.6459	26.8439	'No'
51	26.9387	23.8397	30.0377	'Yes'
52	26.4229	23.3239	29.5219	'Yes'
53	24.2275	21.1285	27.3265	'Yes'
54	26.4426	23.3436	29.5416	'Yes'
55	26.3718	23.2728	29.4708	'Yes'
56	29.369	26.27	32.468	'Yes'
57	25.9233	22.8243	29.0223	'Yes'
58	29.6878	26.5888	32.7868	'Yes'
59	24.8782	21.7792	27.9772	'Yes'
60	29.2868	26.1878	32.3858	'Yes'
61	25.8719	22.7729	28.9709	'Yes'
62	25.665	22.566	28.764	'Yes'
63	26.4958	23.3968	29.5948	'Yes'
64	28.6329	25.5339	31.7319	'Yes'
65	28.2699	25.1709	31.3689	'Yes'
66	25.6491	22.5501	28.7481	'Yes'
67	27.8394	24.7404	30.9384	'Yes'
68	29.5261	26.4271	32.6251	'Yes'
69	24.6784	21.5794	27.7774	'Yes'
70	24.6646	21.5656	27.7636	'Yes'
71	26.4696	23.3706	29.5686	'Yes'
72	26.0308	22.9318	29.1298	'Yes'
73	27.5731	24.4741	30.6721	'Yes'
74	26.5938	23.4948	29.6928	'Yes'
75	25.4701	22.3711	28.5691	'Yes'
76	28.3079	25.2089	31.4069	'Yes'
77	26.4159	23.3169	29.5149	'Yes'
78	26.7439	23.6449	29.8429	'Yes'
79	27.0831	23.9841	30.1821	'Yes'
80	24.4346	21.3356	27.5336	'Yes'
81	24.7468	21.6478	27.8458	'Yes'
82	27.1649	24.0659	30.2639	'Yes'
83	28.0252	24.9262	31.1242	'Yes'
84	27.1953	24.0963	30.2943	'Yes'
85	29.7399	26.6409	32.8389	'Yes'
86	24.2036	21.1046	27.3026	'Yes'
87	27.0769	23.9779	30.1759	'Yes'
88	23.672	20.573	26.771	'No'
89	25.4356	22.3366	28.5346	'Yes'
90	23.6151	20.5161	26.7141	'No'
91	24.0929	20.9939	27.1919	'Yes'
92	27.731	24.632	30.83	'Yes'
93	27.3537	24.2547	30.4527	'Yes'
94	26.3139	23.2149	29.4129	'Yes'
95	24.8383	21.7393	27.9373	'Yes'
96	28.4564	25.3574	31.5554	'Yes'
97	28.2395	25.1405	31.3385	'Yes'
98	25.5058	22.4068	28.6048	'Yes'
99	25.6857	22.5867	28.7847	'Yes'
100	27.154	24.055	30.253	'Yes'
