'Subject'	'Control'	'3-MC'	'AIA'	'PABA'
'1'	70.212	410.808	97.137	5.71
'2'	261.467	341.398	11.972	154.34
'3'	6.013	56.339	256.635	105.027
'4'	115.512	117.633	350.595	0.071
'5'	13.735	194.18	202.081	146.306
'6'	96.191	562.024	1.038	225.57
'7'	66.245	925.114	69.371	155.321
'8'	17.058	910.929	27.086	63.497
'9'	349.469	37.065	253.724	14.459
'10'	125.51	272.684	746.738	30.978
'11'	148.526	108.371	75.278	472.233
'12'	221.586	162.487	232.193	33.288
'13'	463.236	847.685	427.775	15.273
'14'	206.578	218.904	303.216	150.674
