'Gender/Type'	'Male/Verbal'	'Female/Verbal'	'Male/Math'	'Female/Math'
1980	506	498	515	473
1981	508	496	516	473
1982	509	499	516	473
1983	508	498	516	474
1984	511	498	518	478
1985	514	503	522	480
1986	515	504	523	479
1987	512	502	523	481
1988	512	499	521	483
1989	510	498	523	482
1990	505	496	521	483
1991	503	495	520	482
1992	504	496	521	484
1993	504	497	524	484
1994	501	497	523	487
1995	505	502	525	490
1996	507	503	527	492
1997	507	503	530	494
1998	509	502	531	496
1999	509	502	531	495
2000	507	504	533	498
2001	509	502	533	498
2002	507	502	534	500
2003	512	503	537	503
2004	512	504	537	501
2005	513	505	538	504
2006	505	502	536	502
2007	503	500	532	499
2008	502	499	532	499
2009	502	497	533	498
2010	502	498	533	499
2011	500	495	531	500
2012	498	493	532	499
2013	499	494	531	499
