'TempDiff'	'Gas'	'type'
20.3	70.3	'standard'
20.7	70.7	'standard'
20.9	72.9	'standard'
22.8	77.6	'standard'
23.1	79.3	'standard'
24.8	86.5	'standard'
25.9	90.6	'standard'
26.1	91.9	'standard'
27	94.5	'standard'
27.2	92.7	'standard'
29.8	104.8	'standard'
30.2	103.2	'standard'
30.6	91.2	'standard'
31.8	89.6	'standard'
33.2	116.2	'standard'
33.4	116.9	'standard'
34.2	105.1	'standard'
35.1	106.1	'standard'
36.2	117.8	'standard'
36.5	120.3	'standard'
20.1	65.3	'new'
21.1	66.5	'new'
21.9	67.8	'new'
22.6	73.2	'new'
23.4	75.3	'new'
24.2	81.1	'new'
24.9	82.2	'new'
25.1	85.7	'new'
26	90.9	'new'
27.2	87.4	'new'
28.8	94.9	'new'
29.2	93.9	'new'
30.6	87.1	'new'
30.8	84.2	'new'
32.6	106.6	'new'
32.4	111.3	'new'
34.8	100.9	'new'
35.9	101.9	'new'
36	110.1	'new'
36.5	119.1	'new'
