'Mileage'	'FuelUse'
530	382
533	257
536	376
569	290
580	416
603	362
655	361
667	347
707	498
712	449
735	482
784	452
814	426
839	441
844	524
885	488
890	551
913	570
957	556
976	522
979	542
1050	640
1055	598
1069	502
1070	639
1114	679
1116	630
1129	659
1308	695
1348	767
1356	632
1363	641
1395	740
1474	737
1504	783
1528	802
1613	861
1615	874
1632	847
1657	748
1674	872
1698	802
1730	925
1769	912
1775	936
1789	846
1804	883
1820	902
1851	925
1983	908
