'Additive'	'FeedEffRatio'
0	1.3
0	1.35
0	1.44
0	1.52
0	1.56
0	1.61
0	1.48
0	1.56
0	1.45
0	1.14
20	2.17
20	2.11
20	2.08
20	2.13
20	2.22
20	2.29
20	2.33
20	2.24
20	2.16
20	2.21
40	2.3
40	2.34
40	2.2
40	2.38
40	2.48
40	2.44
40	2.37
40	2.43
40	2.37
40	2.41
60	2.47
60	2.51
60	2.79
60	2.4
60	2.55
60	2.67
60	2.5
60	2.55
60	2.6
60	2.49
80	3.31
80	3.17
80	3.24
80	3.21
80	3.35
80	3.38
80	3.42
80	3.36
80	3.25
80	3.51
100	4.92
100	3.87
100	4.81
100	4.88
100	5.06
100	5.09
100	4.97
100	4.95
100	4.59
100	4.76
