'CuLevel'	'Additive'	'FeedEffRatio'
0	0	1.3
0	0	1.35
0	0	1.44
0	0	1.52
0	0	1.56
400	0	1.61
400	0	1.48
400	0	1.56
400	0	1.45
400	0	1.14
0	20	2.17
0	20	2.11
0	20	2.08
0	20	2.13
0	20	2.22
400	20	2.29
400	20	2.33
400	20	2.24
400	20	2.16
400	20	2.21
0	40	2.3
0	40	2.34
0	40	2.2
0	40	2.38
0	40	2.48
400	40	2.44
400	40	2.37
400	40	2.43
400	40	2.37
400	40	2.41
0	60	2.47
0	60	2.51
0	60	2.79
0	60	2.4
0	60	2.55
400	60	2.67
400	60	2.5
400	60	2.55
400	60	2.6
400	60	2.49
0	80	3.31
0	80	3.17
0	80	3.24
0	80	3.21
0	80	3.35
400	80	3.38
400	80	3.42
400	80	3.36
400	80	3.25
400	80	3.51
0	100	4.92
0	100	3.87
0	100	4.81
0	100	4.88
0	100	5.06
400	100	5.09
400	100	4.97
400	100	4.95
400	100	4.59
400	100	4.76
