'Yes'	'No'	'Dust'	'Race'	'Sex'	'Smoking'	'Employ'
3	37	1	1	1	1	1
2	8	1	1	1	2	2
0	74	2	1	1	1	1
1	16	2	1	1	2	2
2	258	3	1	1	1	1
0	58	3	1	1	2	2
25	139	1	2	1	1	1
1	9	1	2	1	2	2
0	88	2	2	1	1	1
0	0	2	2	1	2	2
3	242	3	2	1	1	1
0	7	3	2	1	2	2
0	5	1	1	2	1	1
0	0	1	1	2	2	2
1	93	2	1	2	1	1
0	30	2	1	2	2	2
3	180	3	1	2	1	1
1	90	3	1	2	2	2
2	22	1	2	2	1	1
0	0	1	2	2	2	2
2	145	2	2	2	1	1
0	4	2	2	2	2	2
3	260	3	2	2	1	1
0	4	3	2	2	2	2
0	16	1	1	1	2	1
31	77	1	1	1	1	3
0	35	2	1	1	2	1
1	141	2	1	1	1	3
0	134	3	1	1	2	1
12	495	3	1	1	1	3
6	75	1	2	1	2	1
10	31	1	2	1	1	3
1	47	2	2	1	2	1
0	1	2	2	1	1	3
1	122	3	2	1	2	1
0	45	3	2	1	1	3
0	4	1	1	2	2	1
0	1	1	1	2	1	3
1	54	2	1	2	2	1
3	91	2	1	2	1	3
2	169	3	1	2	2	1
3	176	3	1	2	1	3
1	24	1	2	2	2	1
0	1	1	2	2	1	3
3	142	2	2	2	2	1
0	0	2	2	2	1	3
4	301	3	2	2	2	1
0	2	3	2	2	1	3
8	21	1	1	1	1	2
5	47	1	1	1	2	3
1	50	2	1	1	1	2
0	39	2	1	1	2	3
1	187	3	1	1	1	2
3	182	3	1	1	2	3
8	30	1	2	1	1	2
3	15	1	2	1	2	3
0	5	2	2	1	1	2
0	1	2	2	1	2	3
0	33	3	2	1	1	2
0	23	3	2	1	2	3
0	0	1	1	2	1	2
0	2	1	1	2	2	3
1	33	2	1	2	1	2
3	187	2	1	2	2	3
2	94	3	1	2	1	2
2	340	3	1	2	2	3
0	0	1	2	2	1	2
0	0	1	2	2	2	3
0	4	2	2	2	1	2
0	2	2	2	2	2	3
0	3	3	2	2	1	2
0	3	3	2	2	2	3
