'Cont.'	'OVERCOST'	'NUMEMP'	'SIZE'	'PERCOST'
1	66.4000015	293	2.1400001	69
2	73.6999969	117	1.15	61
3	62.7999992	356	0.49	59
4	69.6999969	579	1.78	50
5	69.5	400	1	70
6	60.0999985	154	0.88	63
7	76.4000015	1234	1.24	70
8	70.0999985	343	2.0799999	55
9	60	186	1.87	60
10	65.5999985	65	2.29	64
11	66.5	788	3.0699999	70
12	66.5	600	2.98	60
13	71	871	2.3199999	58
14	68.3000031	562	3.0699999	62
15	68.6999969	337	1.33	59
16	66.0999985	296	3.7	76
17	56.4000015	126	1.99	54
18	60.9000015	252	2.74	62
19	66.4000015	439	2.0799999	60
20	72.1999969	558	3.4300001	65
21	63.2999992	379	1.99	63
22	72.5999985	453	1.24	61
23	70.0999985	233	2.8599999	37
24	56.2000008	194	1.24	65
25	74.8000031	435	4	58
26	78.0999985	194	0.85	64
27	64	94	3.5799999	52
28	76	609	1.96	61
29	66.5	183	2.47	42
30	63.2999992	502	2.3800001	74
31	72.5999985	1182	2.3499999	66
32	76.4000015	7216	3.97	68
33	65.3000031	512	2.0799999	59
34	73.0999985	1236	2.5899999	50
35	76	2247	2.5599999	61
36	57.7999992	65	0.91	72
37	80.0999985	157	1.66	53
38	66.5999985	423	1.96	64
39	59.7999992	429	2.1099999	54
40	64.1999969	487	1.0599999	58
41	67.6999969	218	2.0799999	60
42	74.5999985	190	2.6199999	59
43	67.9000015	169	1.03	50
44	72.6999969	1422	1.87	69
45	65.5	269	1.15	73
46	72.4000015	531	2.77	68
47	78.6999969	421	3.76	45
48	61.9000015	235	2.5599999	80
49	85.5999985	1866	1.9	37
50	58.0999985	88	1.87	59
51	75.5999985	1833	4.4499998	55
52	63	870	1.54	66
53	67.9000015	946	2.29	56
54	65.8000031	422	4.7199998	65
55	57.0999985	79	2.74	64
56	74.6999969	393	4.54	64
57	66.0999985	229	1.66	68
58	68.5	316	3.0699999	57
59	55.2000008	224	1.54	66
60	60.9000015	573	1.09	70
61	72.3000031	461	2.5	66
62	70.1999969	732	1.48	68
63	62.2000008	189	2.02	64
64	58.0999985	195	2.29	65
65	66.1999969	962	2.1700001	60
66	84.0999985	964	4.9000001	45
67	81.5999985	921	3.28	54
68	76.6999969	214	2.6199999	79
69	60.4000015	127	0.76	63
70	80.9000015	3766	3.1900001	55
71	74.8000031	1576	3.52	54
72	79.1999969	764	3.04	57
73	68.0999985	408	1.36	50
74	66.8000031	370	1.5700001	70
75	83.5999985	769	2.23	53
76	61.7000008	1041	3.01	63
77	76.1999969	546	2.8599999	63
78	64.3000031	147	1.27	51
79	71.3000031	148	1.72	55
80	63.7999992	501	1.42	57
81	80.4000015	1686	2.26	57
82	80.0999985	1264	2.6800001	58
83	59.9000015	229	0.43	67
84	65.5	111	0.28	57
85	73	2138	3.8199999	63
86	67	356	3.5799999	55
