'AVTEM'	'LOGV '	'IT  '	'QW'	'VS '	'I2 '	'Q2 '	'V2'	'Test'
185	3.6	2	6	10	4	1	1	1
176	3.7	2	6	10	4	1	1	2
177	3.6	2	6	11	4	1	0	1
184	3.7	2	6	11	4	1	0	2
178	3.6	2	6	12	4	1	1	1
169	3.4	2	6	12	4	1	1	2
185	3.2	2	7	10	4	0	1	1
184	3.2	2	7	10	4	0	1	2
180	3.2	2	7	11	4	0	0	1
184	3.5	2	7	11	4	0	0	2
179	3	2	7	12	4	0	1	1
173	3.2	2	7	12	4	0	1	2
179	2.9	2	8	10	4	1	1	1
185	2.7	2	8	10	4	1	1	2
180	2.8	2	8	11	4	1	0	1
180	2.7	2	8	11	4	1	0	2
169	2.9	2	8	12	4	1	1	1
177	2.8	2	8	12	4	1	1	2
172	3.6	3	6	10	1	1	1	1
171	3.9	3	6	10	1	1	1	2
172	3.8	3	6	11	1	1	0	1
167	3.6	3	6	11	1	1	0	2
165	3.3	3	6	12	1	1	1	1
159	3.4	3	6	12	1	1	1	2
169	3	3	7	10	1	0	1	1
174	3.3	3	7	10	1	0	1	2
163	3.3	3	7	11	1	0	0	1
170	3.3	3	7	11	1	0	0	2
169	3.2	3	7	12	1	0	1	1
163	3.2	3	7	12	1	0	1	2
178	2.7	3	8	10	1	1	1	1
165	2.7	3	8	10	1	1	1	2
167	2.8	3	8	11	1	1	0	1
171	2.8	3	8	11	1	1	0	2
166	2.9	3	8	12	1	1	1	1
166	2.7	3	8	12	1	1	1	2
161	3.7	4	6	10	0	1	1	1
162	3.7	4	6	10	0	1	1	2
169	3.4	4	6	11	0	1	0	1
162	3.7	4	6	11	0	1	0	2
159	3.5	4	6	12	0	1	1	1
168	3.4	4	6	12	0	1	1	2
169	3.1	4	7	10	0	0	1	1
165	3.2	4	7	10	0	0	1	2
163	3.2	4	7	11	0	0	0	1
168	3.4	4	7	11	0	0	0	2
160	2.9	4	7	12	0	0	1	1
154	3.1	4	7	12	0	0	1	2
169	2.8	4	8	10	0	1	1	1
156	2.9	4	8	10	0	1	1	2
168	2.7	4	8	11	0	1	0	1
161	2.7	4	8	11	0	1	0	2
156	2.6	4	8	12	0	1	1	1
158	2.7	4	8	12	0	1	1	2
164	3.7	5	6	10	1	1	1	1
163	3.7	5	6	10	1	1	1	2
161	3.7	5	6	11	1	1	0	1
158	3.4	5	6	11	1	1	0	2
154	3.4	5	6	12	1	1	1	1
162	3.7	5	6	12	1	1	1	2
163	2.8	5	7	10	1	0	1	1
166	3	5	7	10	1	0	1	2
159	3.3	5	7	11	1	0	0	1
156	3.3	5	7	11	1	0	0	2
152	3.3	5	7	12	1	0	1	1
150	3.3	5	7	12	1	0	1	2
165	2.9	5	8	10	1	1	1	1
156	2.7	5	8	10	1	1	1	2
155	2.8	5	8	11	1	1	0	1
155	3.2	5	8	11	1	1	0	2
149	2.6	5	8	12	1	1	1	1
152	2.9	5	8	12	1	1	1	2
165	3.4	6	6	10	4	1	1	1
160	3.7	6	6	10	4	1	1	2
157	3.7	6	6	11	4	1	0	1
149	3.7	6	6	11	4	1	0	2
149	3.8	6	6	12	4	1	1	1
145	3.7	6	6	12	4	1	1	2
154	3.4	6	7	10	4	0	1	1
153	3.2	6	7	10	4	0	1	2
150	3	6	7	11	4	0	0	1
156	3.1	6	7	11	4	0	0	2
146	3.2	6	7	12	4	0	1	1
153	3.3	6	7	12	4	0	1	2
161	2.8	6	8	10	4	1	1	1
160	2.9	6	8	10	4	1	1	2
156	2.9	6	8	11	4	1	0	1
150	2.7	6	8	11	4	1	0	2
149	2.9	6	8	12	4	1	1	1
151	2.8	6	8	12	4	1	1	2
