'Field'	'P'	'T'	'S'	'Variety'
1	7.2	16.7	4.4	'Fuggle'
1	12.1	16.8	4.4	'N.Brewer'
1	5.5	16.5	4.4	'Hallertau'
1	6.8	16.7	4.4	'Saaz'
2	5.8	17.4	5.8	'Fuggle'
2	10.7	17	6.2	'N.Brewer'
2	5.3	17.1	5.8	'Hallertau'
2	4.9	18.5	7.5	'Saaz'
3	5.7	17.1	5.9	'Fuggle'
3	10.6	17.9	5.9	'N.Brewer'
3	4.7	18.4	7	'Hallertau'
3	4.7	18.1	7.8	'Saaz'
4	5.5	18.9	6.2	'Fuggle'
4	10.2	18	7.7	'N.Brewer'
4	4.6	17.4	5.8	'Hallertau'
4	4.6	17.1	5.7	'Saaz'
5	5.2	17.7	6.6	'Fuggle'
5	9.6	18	6.9	'N.Brewer'
5	4.5	18.3	7.5	'Hallertau'
5	4.1	18.7	7.1	'Saaz'
6	5.1	18.4	6.9	'Fuggle'
6	9.1	21.3	6.1	'N.Brewer'
6	4.4	18.6	7.5	'Hallertau'
6	3.9	17.9	5.9	'Saaz'
7	4.8	16.8	6.9	'Fuggle'
7	8.8	18.5	7.2	'N.Brewer'
7	4	19.3	6.7	'Hallertau'
7	3.8	19.1	7.1	'Saaz'
8	4.8	18.2	6.2	'Fuggle'
8	8.8	19.1	6.5	'N.Brewer'
8	3.8	19.2	6.5	'Hallertau'
8	3.5	21.4	5.9	'Saaz'
9	4.8	20.7	8.4	'Fuggle'
9	8.1	19.9	8.5	'N.Brewer'
9	3.2	21.4	6.1	'Hallertau'
9	3.4	19	7.6	'Saaz'
10	4.7	21.3	6.2	'Fuggle'
10	8	19.1	6.6	'N.Brewer'
10	3.3	20.6	8.7	'Hallertau'
10	3.1	17.7	7.1	'Saaz'
11	4.3	21.2	7.4	'Fuggle'
11	7.6	21.1	7.3	'N.Brewer'
11	3	19.8	8.5	'Hallertau'
11	3	20.9	7.8	'Saaz'
12	3.7	17.3	6.9	'Fuggle'
12	6.4	17.4	6.9	'N.Brewer'
12	2.9	21.2	7.9	'Hallertau'
12	2.7	19	8.8	'Saaz'
13	3.2	18.5	8.6	'Fuggle'
13	5.8	19.2	8.4	'N.Brewer'
13	2.8	17.3	6.9	'Hallertau'
13	2.5	20.1	8.5	'Saaz'
