'Stu'	'CRIME'	'A'	'C'	'I'	'G'
1	2	16	2	83	1
2	0	18	2	92	1
3	3	18	2	95	1
4	9	18	2	81	0
5	6	19	2	85	1
6	6	19	2	90	1
7	7	20	2	98	1
8	9	19	2	96	0
9	13	18	2	73	0
10	12	19	2	76	0
11	9	19	2	79	1
12	12	20	2	75	0
13	12	21	2	80	0
14	11	20	2	72	0
15	11	24	3	74	0
16	12	25	3	75	0
17	9	25	3	75	1
18	9	27	4	76	1
19	11	28	4	72	0
20	5	38	4	79	0
21	0	29	4	83	1
22	6	30	4	75	1
23	2	31	4	79	0
24	0	32	4	72	1
25	3	32	4	75	1
26	0	31	4	77	0
27	8	30	4	66	1
28	11	29	4	55	0
29	13	29	4	52	0
30	15	28	4	50	0
31	17	27	4	49	0
32	18	26	4	48	0
33	20	25	4	45	0
34	16	24	3	53	0
35	18	23	3	46	0
36	16	23	3	48	1
37	15	22	3	58	0
38	21	22	3	44	0
39	19	22	3	48	0
40	17	21	3	49	1
41	14	21	2	55	1
42	15	20	2	53	0
43	19	19	2	47	0
44	18	21	3	44	0
45	10	21	2	73	1
