'Obs'	'x1'	'x2'	'x3'	'x4'	'x5'	'x6'	'x7'	'x8'	'x9'	'x10'	'y'
1	84	65	147	85	59	151	95	40	398	273	30
2	84	65	149	86	61	159	94	28	345	140	34
3	84	66	142	83	64	152	94	41	388	318	33
4	79	67	147	83	65	158	94	50	406	282	26
5	81	68	167	88	69	180	93	46	379	311	41
6	74	66	131	77	67	147	96	73	478	446	4
7	73	66	131	78	69	159	96	72	462	294	5
8	75	67	134	84	68	159	95	70	464	313	20
9	84	68	161	89	71	195	95	63	430	455	31
10	86	72	169	91	76	206	93	56	406	604	38
11	88	73	178	91	76	208	94	55	393	610	43
12	90	74	187	94	76	211	94	51	385	520	47
13	88	72	171	94	75	211	96	54	405	663	45
14	88	72	171	92	70	201	95	51	392	467	45
15	81	69	154	87	68	167	95	61	448	184	11
16	79	68	149	83	68	162	95	59	436	177	10
17	84	69	160	87	66	173	95	42	392	173	30
18	84	70	160	87	68	177	94	44	392	76	29
19	84	70	168	88	70	169	95	48	398	72	23
20	77	67	147	83	66	170	97	60	431	183	16
21	87	67	166	92	67	196	96	44	379	76	37
22	89	69	171	92	72	199	94	48	393	230	50
23	89	72	180	94	72	204	95	48	394	193	36
24	93	72	186	92	73	201	94	47	386	400	54
25	93	74	188	93	72	206	95	47	389	339	44
26	94	75	199	94	72	208	96	45	370	172	41
27	93	74	193	95	73	214	95	50	396	238	45
28	93	74	196	95	70	210	96	45	380	118	42
29	96	75	198	95	71	207	93	40	365	93	50
30	95	76	202	95	69	202	93	39	357	269	48
31	84	73	173	96	69	173	94	58	418	128	17
32	91	71	170	91	69	168	94	44	420	423	20
33	88	72	179	89	70	189	93	50	399	415	15
34	89	72	179	95	71	210	98	46	389	300	42
35	91	72	182	96	73	208	95	43	384	193	44
36	92	74	196	97	75	215	96	46	389	195	41
37	94	75	192	96	69	198	95	36	380	215	49
38	96	75	195	95	67	196	97	24	354	185	53
39	93	76	198	94	75	211	93	43	364	466	53
40	88	74	188	92	73	198	95	52	405	399	21
41	88	74	178	90	74	197	95	61	447	232	1
42	91	72	175	94	70	205	94	42	380	275	44
43	92	72	190	95	71	209	96	44	379	166	44
44	92	73	189	96	72	208	93	42	372	189	46
45	94	75	194	95	71	208	93	43	373	164	47
46	96	76	202	96	71	208	94	40	368	139	50
