'Run'	'x1'	'x2'	'x3'	'x4'	'y'
1	0.2	0.2	1.5	145	83.9
2	0.4	0.2	1.5	145	84.9
3	0.2	0.4	1.5	145	83.4
4	0.4	0.4	3.5	145	84.2
5	0.2	0.2	3.5	145	83.8
6	0.4	0.2	3.5	145	84.7
7	0.2	0.4	3.5	145	84
8	0.4	0.4	1.5	175	84.8
9	0.2	0.2	1.5	175	84.5
10	0.4	0.2	1.5	175	86
11	0.2	0.4	1.5	175	82.6
12	0.4	0.4	3.5	175	85.1
13	0.2	0.2	3.5	175	84.5
14	0.4	0.2	3.5	175	86
15	0.2	0.4	3.5	175	84
16	0.4	0.4	3.5	175	85.4
17	0.1	0.3	2.5	160	82.9
18	0.5	0.3	2.5	160	85.5
19	0.3	0.1	2.5	160	85.2
20	0.3	0.5	2.5	160	84.5
21	0.3	0.3	2.5	160	84.7
22	0.3	0.3	2.5	160	85
23	0.3	0.3	2.5	160	84.9
24	0.3	0.3	2.5	160	84
25	0.3	0.3	2.5	160	84.5
26	0.3	0.3	2.5	160	84.7
27	0.3	0.3	2.5	160	84.6
28	0.3	0.3	2.5	160	84.9
28	0.3	0.3	2.5	160	84.9
29	0.3	0.3	2.5	160	84.9
30	0.3	0.3	2.5	160	84.5
31	0.3	0.3	2.5	160	84.6
