'Field'	'y'	'x1'	'x2'
1	61	21	57
2	77	24.8	48
3	87	28.3	41.5
4	93	26	56
5	98	27.5	58
6	100	27.1	31
7	104	26.8	36.5
8	118	29	41
9	102	28.3	40
10	74	34	25
11	63	30.5	34
12	43	28.3	13
13	27	30.8	37
14	19	31	19
15	14	33.6	20
16	23	31.8	17
17	30	31.3	21
18	25	33.5	18.5
19	67	33	24.5
20	40	34.5	16
21	6	34.3	6
22	21	34.3	26
23	18	33	21
24	23	26.5	26
24	23	26.5	26
25	42	32	28
26	56	27.3	24.5
27	60	27.8	39
28	59	25.8	29
29	82	25	41
30	89	18.5	53.5
31	77	26	51
32	102	19	48
33	108	18	70
34	97	16.3	79.5
