'Plot'	'number'	'treatment'
1	33	0
1	30	0
1	59	0
1	36	0
1	8	1
1	12	2
1	6	3
1	17	4
1	11	1
1	17	2
1	10	3
1	8	4
2	36	0
2	24	0
2	23	0
2	23	0
2	15	1
2	6	2
2	4	3
2	3	4
2	20	1
2	40	2
2	7	3
2	2	4
3	19	0
3	27	0
3	42	0
3	39	0
3	10	1
3	12	2
3	4	3
3	6	4
3	7	1
3	10	2
3	12	3
3	3	4
4	71	0
4	39	0
4	49	0
4	20	0
4	17	1
4	5	2
4	5	3
4	1	4
4	26	1
4	8	2
4	5	3
4	1	4
5	22	0
5	42	0
5	27	0
5	22	0
5	14	1
5	12	2
5	2	3
5	2	4
5	11	1
5	12	2
5	6	3
5	5	4
6	84	0
6	23	0
6	50	0
6	37	0
6	22	1
6	16	2
6	17	3
6	6	4
6	30	1
6	4	2
6	11	3
6	5	4
