'Batch'	'IMT'	'GL'	'DVBN'
1	5	2.62	17.53
1	10	2.61	17.37
1	15	2.69	17.4
1	20	2.65	17.34
1	25	2.61	17.41
2	5	3.63	16.82
2	10	3.64	16.7
2	15	3.54	16.79
2	20	3.59	16.57
2	25	3.61	16.48
3	5	2.83	17.44
3	10	2.76	17.55
3	15	2.85	17.38
3	20	2.84	17.26
3	25	2.85	17.13
4	5	2.45	17.85
4	10	2.47	17.74
4	15	2.42	17.69
4	20	2.44	17.67
4	25	2.41	17.66
5	5	2.37	17.92
5	10	2.36	17.91
5	15	2.32	17.87
5	20	2.39	17.6
5	25	2.43	17.51
6	5	3.07	17.33
6	10	3.11	17.2
6	15	3.09	17.15
6	20	3.06	17.24
6	25	3.13	17.01
