'Socioeconomic Class'	'Age'	'Verbal Skill'
1	40	26.2
1	37	37.5
1	30	19.6
1	61	43.2
1	41	32.4
1	21	23.5
1	18	15.6
1	36	18.5
1	16	23.6
1	41	21
1	19	11.9
1	30	10.2
1	26	29.8
1	28	20.6
1	16	13.5
1	28	17.2
1	19	29.3
1	34	25.6
1	20	25.6
1	18	18.4
2	20	20.8
2	65	39
2	51	34.3
2	56	39.4
2	16	23.7
2	29	23.8
2	20	37.2
2	20	33
2	17	21.9
2	35	36.1
2	25	31.7
2	21	37.6
2	27	26
2	25	20.3
2	25	32.6
2	28	25.8
2	33	21.2
2	16	36.3
2	22	34.2
2	23	17.7
3	54	34.3
3	27	25.1
3	25	27
3	44	29.1
3	31	33.3
3	39	38.4
3	25	14.9
3	18	38.7
3	17	32.7
3	22	34
3	24	23.8
3	28	13.3
3	23	32.4
3	17	36.2
3	26	33.7
3	23	29.2
3	26	33.2
3	35	28.5
3	31	31.4
3	37	39.2
4	27	33.1
4	36	37.1
4	23	47.3
4	31	47.3
4	48	53.7
4	48	59.6
4	16	36
4	32	41.2
4	31	44.2
4	24	48.9
4	20	53
4	26	42.8
4	24	50.8
4	33	42.1
4	21	42.6
4	25	45
4	37	59.8
4	36	37.9
4	19	38.9
4	34	45
