'Source'	'Lab'	'e_coli'	'Method'
'Meat'	'L1'	12.3	'M1'
'Meat'	'L2'	13.2	'M1'
'Meat'	'L3'	12.9	'M1'
'Meat'	'L4'	13.2	'M1'
'Meat'	'L5'	12.9	'M1'
'Meat'	'L6'	14.5	'M2'
'Meat'	'L7'	14.3	'M2'
'Meat'	'L8'	14.5	'M2'
'Meat'	'L9'	14.3	'M2'
'Meat'	'L10'	14.5	'M2'
'Meat'	'L11'	14.4	'M3'
'Meat'	'L12'	13.5	'M3'
'Meat'	'L13'	14.7	'M3'
'Meat'	'L14'	13.5	'M3'
'Meat'	'L15'	14.7	'M3'
'Meat'	'L16'	14.8	'M4'
'Meat'	'L17'	16.4	'M4'
'Meat'	'L18'	15.6	'M4'
'Meat'	'L19'	14.8	'M4'
'Meat'	'L20'	15.2	'M4'
'Meat'	'L1'	12.6	'M1'
'Meat'	'L2'	13	'M1'
'Meat'	'L3'	13	'M1'
'Meat'	'L4'	14	'M1'
'Meat'	'L5'	13.9	'M1'
'Meat'	'L6'	15	'M2'
'Meat'	'L7'	15.6	'M2'
'Meat'	'L8'	14.8	'M2'
'Meat'	'L9'	15.6	'M2'
'Meat'	'L10'	14.8	'M2'
'Meat'	'L11'	14.1	'M3'
'Meat'	'L12'	13.4	'M3'
'Meat'	'L13'	14.6	'M3'
'Meat'	'L14'	13.4	'M3'
'Meat'	'L15'	14.2	'M3'
'Meat'	'L16'	15.3	'M4'
'Meat'	'L17'	14.3	'M4'
'Meat'	'L18'	16.4	'M4'
'Meat'	'L19'	15.4	'M4'
'Meat'	'L20'	14.4	'M4'
'Fruit'	'L1'	13.2	'M1'
'Fruit'	'L2'	14.4	'M1'
'Fruit'	'L3'	12.9	'M1'
'Fruit'	'L4'	14.1	'M1'
'Fruit'	'L5'	12.8	'M1'
'Fruit'	'L6'	13.2	'M2'
'Fruit'	'L7'	14.2	'M2'
'Fruit'	'L8'	14.4	'M2'
'Fruit'	'L9'	13.3	'M2'
'Fruit'	'L10'	14.5	'M2'
'Fruit'	'L11'	13.4	'M3'
'Fruit'	'L12'	14.5	'M3'
'Fruit'	'L13'	12.7	'M3'
'Fruit'	'L14'	13.5	'M3'
'Fruit'	'L15'	12.7	'M3'
'Fruit'	'L16'	12.2	'M4'
'Fruit'	'L17'	14.4	'M4'
'Fruit'	'L18'	12.4	'M4'
'Fruit'	'L19'	13.4	'M4'
'Fruit'	'L20'	13.2	'M4'
'Fruit'	'L1'	13.4	'M1'
'Fruit'	'L2'	14.5	'M1'
'Fruit'	'L3'	13.7	'M1'
'Fruit'	'L4'	14.1	'M1'
'Fruit'	'L5'	13.4	'M1'
'Fruit'	'L6'	14.2	'M2'
'Fruit'	'L7'	13.4	'M2'
'Fruit'	'L8'	14.6	'M2'
'Fruit'	'L9'	13.6	'M2'
'Fruit'	'L10'	13.8	'M2'
'Fruit'	'L11'	14.1	'M3'
'Fruit'	'L12'	14.4	'M3'
'Fruit'	'L13'	14.2	'M3'
'Fruit'	'L14'	14.4	'M3'
'Fruit'	'L15'	14.2	'M3'
'Fruit'	'L16'	13.3	'M4'
'Fruit'	'L17'	13.6	'M4'
'Fruit'	'L18'	13.8	'M4'
'Fruit'	'L19'	13.8	'M4'
'Fruit'	'L20'	13.3	'M4'
'Veg'	'L1'	13.1	'M1'
'Veg'	'L2'	13.4	'M1'
'Veg'	'L3'	13.6	'M1'
'Veg'	'L4'	13.8	'M1'
'Veg'	'L5'	12.8	'M1'
'Veg'	'L6'	13.5	'M2'
'Veg'	'L7'	13.3	'M2'
'Veg'	'L8'	13.5	'M2'
'Veg'	'L9'	14.3	'M2'
'Veg'	'L10'	13.5	'M2'
'Veg'	'L11'	14.3	'M3'
'Veg'	'L12'	13.5	'M3'
'Veg'	'L13'	13.7	'M3'
'Veg'	'L14'	14.5	'M3'
'Veg'	'L15'	13.7	'M3'
'Veg'	'L16'	12.2	'M4'
'Veg'	'L17'	14.3	'M4'
'Veg'	'L18'	13.6	'M4'
'Veg'	'L19'	13.4	'M4'
'Veg'	'L20'	14.4	'M4'
'Veg'	'L1'	12.5	'M1'
'Veg'	'L2'	14	'M1'
'Veg'	'L3'	13	'M1'
'Veg'	'L4'	14.1	'M1'
'Veg'	'L5'	13.3	'M1'
'Veg'	'L6'	14	'M2'
'Veg'	'L7'	12.6	'M2'
'Veg'	'L8'	12.8	'M2'
'Veg'	'L9'	13.6	'M2'
'Veg'	'L10'	12.8	'M2'
'Veg'	'L11'	15.1	'M3'
'Veg'	'L12'	15.4	'M3'
'Veg'	'L13'	15.2	'M3'
'Veg'	'L14'	15.4	'M3'
'Veg'	'L15'	15.2	'M3'
'Veg'	'L16'	13.3	'M4'
'Veg'	'L17'	13.9	'M4'
'Veg'	'L18'	12.7	'M4'
'Veg'	'L19'	13.9	'M4'
'Veg'	'L20'	14.1	'M4'
