'Subject'	'Analyst'	'DNAcontent'
1	1	9.9
2	1	10.6
3	1	11.5
4	1	11.3
5	1	10.5
6	1	8
7	1	10.6
8	1	12.2
9	1	8
10	1	9.7
1	2	10.2
2	2	10.6
3	2	11.3
4	2	11.6
5	2	10.3
6	2	8.2
7	2	10.7
8	2	12.8
9	2	7.9
10	2	9.6
1	3	10.1
2	3	10.5
3	3	11.1
4	3	11.3
5	3	10.1
6	3	7.9
7	3	10.4
8	3	12.6
9	3	7.7
10	3	9.3
1	4	10.2
2	4	10.5
3	4	11.2
4	4	11.3
5	4	10.2
6	4	7.9
7	4	10.5
8	4	12.7
9	4	7.8
10	4	9.4
1	5	10.4
2	5	10.9
3	5	11.4
4	5	11.6
5	5	10.6
6	5	8.4
7	5	10.9
8	5	12.5
9	5	8.1
10	5	9.5
