'Lab'	'Process'	'Count'
1	1	1055
1	1	1056
2	1	2390
2	1	2406
3	1	2641
3	1	2721
4	1	1508
4	1	1533
5	1	1493
5	1	1448
6	1	2633
6	1	2613
1	2	1768
1	2	1763
2	2	2202
2	2	2233
3	2	1998
3	2	2067
4	2	1090
4	2	1042
5	2	1970
5	2	1999
6	2	1098
6	2	1077
1	3	1500
1	3	1474
2	3	958
2	3	968
3	3	2651
3	3	2718
4	3	1380
4	3	1355
5	3	1192
5	3	1164
6	3	1466
6	3	1624
1	4	1875
1	4	1883
2	4	2664
2	4	2716
3	4	3094
3	4	3124
4	4	1394
4	4	1367
5	4	2090
5	4	2096
6	4	2063
6	4	2070
1	5	1758
1	5	1762
2	5	2614
2	5	2688
3	5	1178
3	5	1159
4	5	1777
4	5	1695
5	5	1858
5	5	1891
6	5	1884
6	5	1888
1	6	1172
1	6	1215
2	6	2029
2	6	2115
3	6	1553
3	6	1517
4	6	1399
4	6	1423
5	6	1420
5	6	1415
6	6	1896
6	6	1945
1	7	996
1	7	994
2	7	1516
2	7	1546
3	7	1200
3	7	1190
4	7	1709
4	7	1604
5	7	1460
5	7	1439
6	7	932
6	7	890
1	8	1134
1	8	1120
2	8	1982
2	8	1947
3	8	2138
3	8	2179
4	8	1848
4	8	1894
5	8	1542
5	8	1527
6	8	1888
6	8	1964
1	9	544
1	9	590
2	9	113
2	9	119
3	9	1528
3	9	1531
4	9	1064
4	9	1023
5	9	1514
5	9	1587
6	9	1247
6	9	1172
1	10	124
1	10	176
2	10	1555
2	10	1504
3	10	1405
3	10	1384
4	10	904
4	10	909
5	10	1117
5	10	1067
6	10	595
6	10	601
