'A'	'exposure'	'B'
's1'	8.2	1
's1'	3.6	2
's1'	10.7	3
's1'	3.9	4
's1'	12.9	5
's1'	5.5	6
's1'	9.1	7
's1'	13.7	8
's1'	8.1	9
's1'	2.5	10
's1'	7.6	1
's1'	3.5	2
's1'	10.3	3
's1'	4.4	4
's1'	12.1	5
's1'	5.9	6
's1'	9.7	7
's1'	13.2	8
's1'	8.7	9
's1'	2.8	10
's2'	6.1	1
's2'	4.3	2
's2'	9.6	3
's2'	2.3	4
's2'	12.4	5
's2'	4.8	6
's2'	8.3	7
's2'	12.9	8
's2'	8	9
's2'	2.1	10
's2'	6.8	1
's2'	4.7	2
's2'	9.2	3
's2'	2.5	4
's2'	12.8	5
's2'	4	6
's2'	8.6	7
's2'	13.6	8
's2'	7.5	9
's2'	2.5	10
