'Runner'	'Brand'	'Force'
1	'B1'	2059.3
2	'B1'	2663.1
3	'B1'	2107.1
4	'B1'	1847.7
5	'B1'	1875.6
6	'B1'	1947.8
7	'B1'	2055.8
8	'B1'	1747.8
9	'B1'	1788.1
10	'B1'	2112.9
1	'B2'	1851.6
2	'B2'	1442.1
3	'B2'	1947.9
4	'B2'	1682.5
5	'B2'	1743.1
6	'B2'	1727.9
7	'B2'	1831.9
8	'B2'	1571
9	'B2'	1616.9
10	'B2'	1800
1	'B3'	1610.9
2	'B3'	1145.8
3	'B3'	1608.4
4	'B3'	1409.8
5	'B3'	1419.2
6	'B3'	1398.9
7	'B3'	1545.5
8	'B3'	1185.4
9	'B3'	1298.6
10	'B3'	1553.6
1	'BC'	2499.9
2	'BC'	2075.2
3	'BC'	2638.8
4	'BC'	2400.2
5	'BC'	2389.7
6	'BC'	2406.2
7	'BC'	2549.3
8	'BC'	2307.1
9	'BC'	2366.8
10	'BC'	2592.3
