'Taster'	'Fat'	'Method'	'TasteScore'
1	'10% Fat'	'Broil'	75
1	'10% Fat'	'Bake'	79
1	'10% Fat'	'Fry'	82
1	'15% Fat'	'Broil'	78
1	'15% Fat'	'Bake'	82
1	'15% Fat'	'Fry'	81
1	'20% Fat'	'Broil'	81
1	'20% Fat'	'Bake'	85
1	'20% Fat'	'Fry'	87
2	'10% Fat'	'Broil'	74
2	'10% Fat'	'Bake'	78
2	'10% Fat'	'Fry'	81
2	'15% Fat'	'Broil'	78
2	'15% Fat'	'Bake'	81
2	'15% Fat'	'Fry'	83
2	'20% Fat'	'Broil'	84
2	'20% Fat'	'Bake'	87
2	'20% Fat'	'Fry'	88
3	'10% Fat'	'Broil'	75
3	'10% Fat'	'Bake'	78
3	'10% Fat'	'Fry'	79
3	'15% Fat'	'Broil'	80
3	'15% Fat'	'Bake'	82
3	'15% Fat'	'Fry'	83
3	'20% Fat'	'Broil'	87
3	'20% Fat'	'Bake'	88
3	'20% Fat'	'Fry'	92
4	'10% Fat'	'Broil'	91
4	'10% Fat'	'Bake'	88
4	'10% Fat'	'Fry'	83
4	'15% Fat'	'Broil'	80
4	'15% Fat'	'Bake'	76
4	'15% Fat'	'Fry'	73
4	'20% Fat'	'Broil'	81
4	'20% Fat'	'Bake'	77
4	'20% Fat'	'Fry'	74
