'CCl _4'	'CHCl _3'	'Time'	'LKHleakage'
0	0	0	0.08
0	0	0	0.08
0	5	0	0.06
0	5	0	0.11
0	10	0	0.06
0	10	0	0.08
0	25	0	0.07
0	25	0	0.11
1	0	0	0.06
1	0	0	0.08
1	5	0	0.05
1	5	0	0.1
1	10	0	0.06
1	10	0	0.11
1	25	0	0.07
1	25	0	0.08
2.5	0	0	0.06
2.5	0	0	0.1
2.5	5	0	0.07
2.5	5	0	0.12
2.5	10	0	0.05
2.5	10	0	0.08
2.5	25	0	0.05
2.5	25	0	0.09
5	0	0	0.06
5	0	0	0.08
5	5	0	0.05
5	5	0	0.09
5	10	0	0.04
5	10	0	0.11
5	25	0	0.07
5	25	0	0.08
0	0	0	0.07
0	0	0	0.06
0	5	0	0.05
0	5	0	0.06
0	10	0	0.06
0	10	0	0.05
0	25	0	0.07
0	25	0	0.07
1	0	0	0.05
1	0	0	0.05
1	5	0	0.06
1	5	0	0.05
1	10	0	0.05
1	10	0	0.05
1	25	0	0.06
1	25	0	0.06
2.5	0	0	0.05
2.5	0	0	0.05
2.5	5	0	0.06
2.5	5	0	0.06
2.5	10	0	0.06
2.5	10	0	0.06
2.5	25	0	0.04
2.5	25	0	0.05
5	0	0	0.06
5	0	0	0.06
5	5	0	0.05
5	5	0	0.05
5	10	0	0.06
5	10	0	0.05
5	25	0	0.05
5	25	0	0.06
0	0	0.01	0.09
0	0	0.01	0.1
0	5	0.01	0.11
0	5	0.01	0.14
0	10	0.01	0.11
0	10	0.01	0.14
0	25	0.01	0.1
0	25	0.01	0.11
1	0	0.01	0.11
1	0	0.01	0.14
1	5	0.01	0.13
1	5	0.01	0.16
1	10	0.01	0.1
1	10	0.01	0.14
1	25	0.01	0.09
1	25	0.01	0.11
2.5	0	0.01	0.09
2.5	0	0.01	0.1
2.5	5	0.01	0.1
2.5	5	0.01	0.11
2.5	10	0.01	0.12
2.5	10	0.01	0.14
2.5	25	0.01	0.07
2.5	25	0.01	0.09
5	0	0.01	0.09
5	0	0.01	0.09
5	5	0.01	0.11
5	5	0.01	0.12
5	10	0.01	0.1
5	10	0.01	0.11
5	25	0.01	0.07
5	25	0.01	0.09
0	0	0.01	0.08
0	0	0.01	0.08
0	5	0.01	0.07
0	5	0.01	0.06
0	10	0.01	0.07
0	10	0.01	0.05
0	25	0.01	0.07
0	25	0.01	0.06
1	0	0.01	0.08
1	0	0.01	0.09
1	5	0.01	0.1
1	5	0.01	0.08
1	10	0.01	0.07
1	10	0.01	0.06
1	25	0.01	0.06
1	25	0.01	0.05
2.5	0	0.01	0.08
2.5	0	0.01	0.1
2.5	5	0.01	0.08
2.5	5	0.01	0.07
2.5	10	0.01	0.09
2.5	10	0.01	0.09
2.5	25	0.01	0.05
2.5	25	0.01	0.04
5	0	0.01	0.08
5	0	0.01	0.1
5	5	0.01	0.1
5	5	0.01	0.08
5	10	0.01	0.09
5	10	0.01	0.05
5	25	0.01	0.05
5	25	0.01	0.04
0	0	0.25	0.09
0	0	0.25	0.1
0	5	0.25	0.14
0	5	0.25	0.16
0	10	0.25	0.2
0	10	0.25	0.24
0	25	0.25	0.25
0	25	0.25	0.33
1	0	0.25	0.13
1	0	0.25	0.15
1	5	0.25	0.18
1	5	0.25	0.22
1	10	0.25	0.25
1	10	0.25	0.26
1	25	0.25	0.23
1	25	0.25	0.28
2.5	0	0.25	0.19
2.5	0	0.25	0.19
2.5	5	0.25	0.22
2.5	5	0.25	0.24
2.5	10	0.25	0.28
2.5	10	0.25	0.23
2.5	25	0.25	0.22
2.5	25	0.25	0.24
5	0	0.25	0.52
5	0	0.25	0.6
5	5	0.25	0.21
5	5	0.25	0.21
5	10	0.25	0.24
5	10	0.25	0.23
5	25	0.25	0.21
5	25	0.25	0.23
0	0	0.25	0.08
0	0	0.25	0.06
0	5	0.25	0.13
0	5	0.25	0.07
0	10	0.25	0.17
0	10	0.25	0.15
0	25	0.25	0.17
0	25	0.25	0.16
1	0	0.25	0.1
1	0	0.25	0.08
1	5	0.25	0.14
1	5	0.25	0.15
1	10	0.25	0.24
1	10	0.25	0.16
1	25	0.25	0.15
1	25	0.25	0.15
2.5	0	0.25	0.18
2.5	0	0.25	0.21
2.5	5	0.25	0.19
2.5	5	0.25	0.21
2.5	10	0.25	0.33
