'Ration'	'Steer'	'Age'	'ShearForce'
1	1	1	3.1
1	1	7	2.9
1	1	14	2.4
1	1	21	2.1
1	2	1	3.2
1	2	7	2.1
1	2	14	2.5
1	2	21	2.1
1	3	1	4.9
1	3	7	4.1
1	3	14	3.4
1	3	21	3.7
1	4	1	6
1	4	7	5.2
1	4	14	5.1
1	4	21	5
2	1	1	4.9
2	1	7	5.2
2	1	14	4.4
2	1	21	4.6
2	2	1	5.9
2	2	7	5.8
2	2	14	5.1
2	2	21	4.9
2	3	1	3.1
2	3	7	2.8
2	3	14	3.1
2	3	21	2.1
2	4	1	4.6
2	4	7	4.4
2	4	14	4.7
2	4	21	3.8
3	1	1	5.3
3	1	7	5.2
3	1	14	5.1
3	1	21	4.8
3	2	1	4.8
3	2	7	4.6
3	2	14	4.2
3	2	21	4.1
3	3	1	4.7
3	3	7	4.5
3	3	14	4.2
3	3	21	3.8
3	4	1	4.9
3	4	7	4.8
3	4	14	4.7
3	4	21	4.4
