'5'	'58(5)'	'64(7)'	'58(14)'	'57(16)'	'58(23)'	'Exam'	'Score'	'Graders'
6	'66(1)'	'71(7)'	'73(13)'	'70(19)'	'70(25)'	1	70	1
7	'73(2)'	'67(8)'	'63(14)'	'70(20)'	'66(21)'	1	65	8
8	'58(3)'	'70(9)'	'69(15)'	'61(16)'	'71(22)'	1	61	15
9	'95(4)'	'84(10)'	'88(11)'	'85(17)'	'87(23)'	1	66	17
10	'47(5)'	'47(6)'	'51(12)'	'49(18)'	'56(24)'	1	66	24
11	'60(1)'	'59(2)'	'51(3)'	'64(4)'	'53(5)'	2	84	2
12	'64(6)'	'69(7)'	'63(8)'	'63(9)'	'71(10)'	2	82	9
13	'84(11)'	'85(12)'	'86(13)'	'85(14)'	'83(15)'	2	86	11
14	'72(16)'	'76(17)'	'77(18)'	'74(19)'	'77(20)'	2	85	18
15	'65(21)'	'73(22)'	'70(23)'	'71(24)'	'70(25)'	2	86	25
16	'52(1)'	'54(6)'	'55(11)'	'62(16)'	'54(21)'	3	72	3
17	'56(2)'	'51(7)'	'51(12)'	'52(17)'	'57(22)'	3	85	10
18	'55(3)'	'60(8)'	'61(13)'	'59(18)'	'60(23)'	3	77	12
19	'88(4)'	'76(9)'	'74(14)'	'77(19)'	'77(24)'	3	82	19
20	'65(5)'	'68(10)'	'77(15)'	'72(20)'	'74(25)'	3	79	21
21	'79(1)'	'77(10)'	'79(14)'	'77(18)'	'77(22)'	4	85	4
22	'70(2)'	'66(6)'	'66(15)'	'63(19)'	'62(23)'	4	75	6
23	'48(3)'	'49(7)'	'50(11)'	'51(20)'	'48(24)'	4	78	13
24	'75(4)'	'64(8)'	'65(12)'	'75(16)'	'68(25)'	4	82	20
25	'79(5)'	'77(9)'	'83(13)'	'81(17)'	'79(21)'	4	83	22
26	'61(1)'	'67(9)'	'65(12)'	'69(20)'	'68(23)'	5	58	5
27	'78(2)'	'75(10)'	'72(13)'	'76(16)'	'75(24)'	5	64	7
28	'67(3)'	'72(6)'	'76(14)'	'72(17)'	'75(25)'	5	58	14
29	'84(4)'	'81(7)'	'77(15)'	'76(18)'	'79(21)'	5	57	16
30	'81(5)'	'84(8)'	'81(11)'	'85(19)'	'84(22)'	5	58	23
						6	66	1
						6	71	7
						6	73	13
						6	70	19
						6	70	25
						7	73	2
						7	67	8
						7	63	14
						7	70	20
						7	66	21
						8	58	3
						8	70	9
						8	69	15
						8	61	16
						8	71	22
						9	95	4
						9	84	10
						9	88	11
						9	85	17
						9	87	23
						10	47	5
						10	47	6
						10	51	12
						10	49	18
						10	56	24
						11	60	1
						11	59	2
						11	51	3
						11	64	4
						11	53	5
						12	64	6
						12	69	7
						12	63	8
						12	63	9
						12	71	10
						13	84	11
						13	85	12
						13	86	13
						13	85	14
						13	83	15
						14	72	16
						14	76	17
						14	77	18
						14	74	19
						14	77	20
						15	65	21
						15	73	22
						15	70	23
						15	71	24
						15	70	25
						16	52	1
						16	54	6
						16	55	11
						16	62	16
						16	54	21
						17	56	2
						17	51	7
						17	51	12
						17	52	17
						17	57	22
						18	55	3
						18	60	8
						18	61	13
						18	59	18
						18	60	23
						19	88	4
						19	76	9
						19	74	14
						19	77	19
						19	77	24
						20	65	5
						20	68	10
						20	77	15
						20	72	20
						20	74	25
						21	79	1
						21	77	10
						21	79	14
						21	77	18
						21	77	22
						22	70	2
						22	66	6
						22	66	15
						22	63	19
						22	62	23
						23	48	3
						23	49	7
						23	50	11
						23	51	20
						23	48	24
						24	75	4
						24	64	8
						24	65	12
						24	75	16
						24	68	25
						25	79	5
						25	77	9
						25	83	13
						25	81	17
						25	79	21
						26	61	1
						26	67	9
						26	65	12
						26	69	20
						26	68	23
						27	78	2
						27	75	10
						27	72	13
						27	76	16
						27	75	24
						28	67	3
						28	72	6
						28	76	14
						28	72	17
						28	75	25
						29	84	4
						29	81	7
						29	77	15
						29	76	18
						29	79	21
						30	81	5
						30	84	8
						30	81	11
						30	85	19
						30	84	22
